Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,0.4463891,0.046765644,0.031222433,0.37954152,1094.7085,94,1
1951,0.50327796,0.09242725,0.033028103,0.42600867,1848.7922,93,1
1952,0.05265951,-0.11294842,0.0394302,0.45224515,832.5513,92,1
1953,0.28953442,0.043791454,0.026786739,0.47192726,1921.329,91,1
1954,0.34440657,0.058650333,0.03139226,0.62045807,619.4025,90,1
1955,0.6590827,0.074562706,0.033214893,0.6288084,400.7902,89,1
1956,-0.29192033,-0.1471904,0.033444867,0.69832015,1145.8884,88,1
1957,0.00030700365,-0.079167046,0.01681953,0.71511775,1234.9066,87,1
1958,-0.52433133,-0.24197133,0.028380087,0.62630373,2285.764,86,1
1959,-0.45581087,-0.06334686,0.023422463,0.5588047,2109.778,85,1
1960,-0.10371461,-0.020398775,0.027592197,0.65970004,2104.9626,84,1
1961,-0.7420824,-0.16533215,0.03863984,0.6275644,1619.574,83,1
1962,0.53828794,0.10623423,0.034606937,0.6025241,2620.0376,82,1
1963,-0.006902059,-0.030759176,0.035248335,0.59703237,1694.6389,81,1
1964,-0.26205024,0.08070692,0.042338353,0.5503233,1472.7485,80,1
1965,-0.10507514,0.057860058,0.03462955,0.5193692,1535.4343,79,1
1966,0.5099337,0.09711901,0.03031609,0.92835593,1663.6466,78,1
1967,0.20149131,0.10739549,0.03351404,0.9683445,1270.9996,77,1
1968,-1.6516377,-0.28838825,0.03798349,1.0101703,1175.759,76,1
1969,-0.68383807,-0.15412521,0.034217183,0.96024376,940.66864,75,1
1970,0.09601768,0.044094086,0.026918894,0.94593614,1974.1887,74,1
1971,-0.096565865,0.042538326,0.03911346,0.64904684,1623.5297,73,1
1972,0.31031445,0.070622124,0.036128115,0.47579566,1323.6301,72,1
1973,0.3886528,0.03612836,0.029278362,0.3869704,840.33856,71,1
1974,0.014521062,0.072171845,0.028387243,0.47226402,1055.1716,70,1
1975,-0.1615166,-0.014959971,0.035920482,0.49992868,2430.864,69,1
1976,-0.32168818,-0.0781943,0.03914632,0.49326292,1301.1498,68,1
1977,0.5616978,0.08119583,0.037631784,0.49418584,1847.2548,67,1
1978,0.22002679,0.121520676,0.045596648,0.49446622,731.9648,66,1
1979,0.17127687,0.12241808,0.041484375,0.3645705,701.9746,65,1
1980,0.099257015,0.04058234,0.040857844,0.36100408,1001.05914,64,1
1981,0.14831924,-0.06378237,0.035952915,0.39917246,1380.3517,63,1
1982,0.32845315,0.07558664,0.04443693,0.5078604,956.37036,62,1
1983,0.4098138,0.13370164,0.02866522,0.5385205,1684.6746,61,1
1984,-0.38013062,-0.03919983,0.03147474,0.5643175,1381.3986,60,1
1985,-0.11996236,0.15823555,0.03897824,0.53954643,1319.0734,59,1
1986,0.15785766,0.04691728,0.03563362,0.4953955,1724.623,58,1
1987,0.30010763,0.14380963,0.03826904,0.42379883,963.40216,57,1
1988,-0.07178453,0.030075073,0.03843796,0.41509166,2422.22,56,1
1989,0.3024465,0.12889989,0.034822114,0.4202181,1438.6326,55,1
1990,-0.11015578,-0.058692615,0.03248587,0.41560352,1506.1245,54,1
1991,0.02717642,0.09269714,0.034045674,0.4243362,819.1852,53,1
1992,-0.050685924,0.10673364,0.037361827,0.4479158,2385.1067,52,1
1993,0.22543931,0.16243966,0.036223292,0.39944875,1132.8523,51,1
1994,-0.00036859512,0.056063652,0.037108477,0.38775933,1396.3596,50,1
1995,0.12929474,0.12170728,0.042392444,0.39624393,1027.1284,49,1
1996,0.2941865,0.09420776,0.042551327,0.431141,1689.4094,48,1
1997,0.38325062,-0.009050369,0.041851085,0.44193804,1222.3384,47,1
1998,0.52644426,0.09003385,0.034014378,0.43704665,750.8285,46,1
1999,0.1091601,-0.14590836,0.047961507,0.41928414,630.5061,45,1
2000,0.3459505,0.033039093,0.03288853,0.4478242,617.51636,44,1
2001,0.6377142,0.06688086,0.040369403,0.4477971,434.9347,43,1
2002,0.020793378,0.10413996,0.036673207,0.4710703,768.42535,42,1
2003,0.7120073,0.03426997,0.039879445,0.50107086,668.97424,41,1
2004,1.0427605,0.09527334,0.042004716,0.5347615,413.72964,40,1
2005,0.68393993,0.031989414,0.035493575,0.5223426,403.96774,39,1
2006,0.16603963,-0.02831459,0.03596727,0.54994065,2104.6711,38,1
2007,0.813324,0.10487684,0.032362543,0.50405276,1865.9749,37,1
2008,0.14212488,0.07037576,0.029712992,0.47499022,1267.4187,36,1
2009,0.24367781,0.035951614,0.032381125,0.4768212,1976.5206,35,1
2010,0.6579103,0.06972599,0.034872796,0.5185235,741.63135,34,1
2011,0.21578759,-0.0064992905,0.040721286,0.5069137,1736.4688,33,1
2012,0.7741547,0.034018517,0.035098497,0.4975258,871.4119,32,1
2013,0.32935283,-0.09035969,0.03315214,0.6256516,832.4417,31,1
2014,0.5053847,-0.12964027,0.035329208,0.6619148,474.94824,30,1
2015,1.2106186,-0.01028188,0.028220018,0.6596274,394.25385,29,1
2016,0.6202125,-0.20757389,0.04718125,0.6449791,747.45215,28,1
2017,0.53625536,-0.08655866,0.030581249,0.669246,590.56134,27,1
2018,0.6148932,-0.02090486,0.03184632,0.5708301,466.42538,26,1
2019,0.14671183,-0.03763644,0.020380013,0.559149,390.69144,25,1
2020,0.7363129,-0.011432965,0.017803868,0.5721628,988.3261,24,1
2021,0.8612654,-0.043264072,0.02394071,0.6314093,1044.4257,23,1
2022,-0.080074824,-0.3390665,0.028596671,0.67297006,1078.2129,22,1
2023,0.587575,-0.1804641,0.028870873,0.7203813,1102.7355,21,1
2024,0.089586355,-0.25454268,0.033311665,0.69285744,1263.7537,20,1
2025,0.55727315,-0.17120361,0.031572785,0.7289944,1161.1407,19,1
2026,0.38997462,-0.08872414,0.02869466,0.79979587,503.40765,18,1
2027,0.8713735,-0.1206344,0.03206872,0.9695885,663.5338,17,1
2028,0.8562851,-0.09349791,0.03168116,1.0713845,327.10492,16,1
2029,0.06595544,-0.24784882,0.0349625,1.1549398,318.1026,15,1
2030,-0.21379592,-0.3273201,0.028250525,1.1248912,218.1193,14,1
2031,0.6732306,-0.1270682,0.024829408,1.0507652,301.17944,13,1
2032,0.4816959,-0.12821865,0.034582645,0.9667697,357.70233,12,1
2033,0.54094124,-0.13489978,0.033320494,0.85408527,524.56976,11,1
2034,0.6769739,-0.17891121,0.037695203,0.87116915,161.20174,10,1
2035,0.22978215,-0.19070308,0.022498248,0.9637101,561.4024,9,1
2036,1.2490225,-0.13624732,0.029666282,0.9609811,447.45486,8,1
2037,1.2265869,-0.1768357,0.031324204,0.87707853,376.65073,7,1
2038,0.55445486,-0.32540575,0.022346945,0.9589047,214.75883,6,1
2039,0.9086213,-0.32826486,0.036069322,0.9249182,215.66304,5,1
2040,1.5709687,-0.23971684,0.0314886,0.93592614,182.02191,4,1
2041,0.6078262,-0.23147202,0.04113606,0.96670824,317.98566,3,1
2042,1.4685465,-0.2464978,0.031068107,1.0248876,240.47394,2,1
2043,1.2310497,-0.380792,0.035403766,0.9378078,407.6866,1,1
2044,1.3076074,-0.37164655,0.025066992,0.9720602,331.071,0,1
2045,1.343685,-0.39280257,0.04690163,1.0405759,196.97192,0,1
2046,1.1424736,-0.5746247,0.028047921,1.0263432,274.75897,0,1
2047,1.7346792,-0.33182907,0.034649607,1.0961262,168.95564,0,1
2048,1.4021069,-0.39713225,0.03420711,1.1380202,151.50343,0,1
2049,2.0422823,-0.3958572,0.028614944,1.1212347,244.70552,0,1
2050,0.94527215,-0.33055973,0.028002253,1.1181946,265.3676,0,1
2051,1.2597351,-0.44328722,0.03683499,1.1785039,122.902664,0,1
2052,2.0787222,-0.41597047,0.031139828,1.1229081,173.25748,0,1
2053,2.361683,-0.3585542,0.03734677,1.0806304,204.61986,0,1
2054,1.702937,-0.46932378,0.030321183,1.0854341,297.69296,0,1
2055,2.0601614,-0.4878343,0.051093847,1.1175035,153.59898,0,1
2056,0.983957,-0.5401869,0.03779589,1.0781376,229.32283,0,1
2057,1.4449391,-0.38957405,0.027727589,1.1738297,204.12495,0,1
2058,1.8256108,-0.43148518,0.048990056,1.2099365,191.52222,0,1
2059,2.3046005,-0.37879786,0.025695935,1.1560541,188.75815,0,1
2060,1.9167519,-0.43192863,0.037229057,1.0897738,241.01274,0,1
2061,1.8658981,-0.35894743,0.037114594,1.1432773,242.91876,0,1
2062,2.1308646,-0.46656165,0.032746896,1.1459455,250.5448,0,1
2063,2.293187,-0.44824472,0.035762273,1.1856401,147.9158,0,1
