Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,-0.119363286,-0.0079511,0.033288095,0.49668828,1601.367,93,1
1951,-0.45420527,-0.1525418,0.029094407,0.4928651,1544.7211,92,1
1952,0.18189932,0.05714925,0.031242639,0.50724566,1179.0344,91,1
1953,0.3201987,0.003534317,0.03494075,0.50568944,1339.4529,90,1
1954,-0.27287367,-0.1964124,0.03440148,0.51584744,2226.716,89,1
1955,-0.47380218,-0.03282134,0.029527338,0.56667656,1894.3026,88,1
1956,-0.47628593,0.056571007,0.032883525,0.5693487,1536.7454,87,1
1957,0.33661523,0.039324123,0.030176848,0.5502388,2022.9508,86,1
1958,-0.001649042,-0.20807616,0.036322545,0.5401034,2300.6606,85,1
1959,-0.08776482,-0.04255454,0.036771655,0.5030046,2132.5156,84,1
1960,0.036815446,-0.0077521005,0.036223564,0.44451293,1961.4429,83,1
1961,0.31483075,-0.0017697016,0.03305215,0.38646984,2275.3245,82,1
1962,-0.1267079,0.030985832,0.03415041,0.36371994,946.33777,81,1
1963,0.05994785,-0.0003083547,0.03710404,0.40440157,823.7242,80,1
1964,0.15615015,0.060434658,0.042526826,0.4034574,1209.3171,79,1
1965,-0.28861514,-0.076766014,0.036839843,0.4232799,956.2307,78,1
1966,0.14421207,-0.093454994,0.024802858,0.5059198,1819.2073,77,1
1967,-0.0003116528,0.05043443,0.030582108,0.51687133,2228.727,76,1
1968,-0.17706925,-0.06598663,0.043684658,0.49681816,2457.302,75,1
1969,0.158796,0.027945518,0.03723823,0.4500558,925.6947,74,1
1970,0.16976528,0.06381607,0.028135955,0.4532025,1044.3391,73,1
1971,0.26214465,0.08925978,0.039045054,0.53548324,1964.8308,72,1
1972,-0.09420469,0.009126663,0.037298724,0.537492,967.3997,71,1
1973,-0.70519286,-0.031090101,0.03510167,0.50244015,1995.3655,70,1
1974,-0.19694734,-0.11145306,0.038704675,0.44441447,1332.6818,69,1
1975,-0.27490163,0.05000782,0.037343092,0.44092765,2633.282,68,1
1976,-0.1523479,0.08117262,0.038200404,0.5086158,2024.5863,67,1
1977,0.19367278,0.08794594,0.033326056,0.5092582,1389.5625,66,1
1978,0.51305705,0.07036845,0.041315638,0.55878013,1087.8405,65,1
1979,0.2443013,0.12894757,0.033410285,0.5572878,1487.5189,64,1
1980,0.80983657,0.12191709,0.03409381,0.56937903,1723.5093,63,1
1981,0.7374247,0.1326453,0.036719415,0.7316919,995.76355,62,1
1982,0.2561392,0.07176653,0.038871452,0.7711627,791.43896,61,1
1983,-0.56758636,-0.0419658,0.03692901,0.7208638,1490.2034,60,1
1984,0.19282596,0.11455282,0.029381441,0.70000774,2082.721,59,1
1985,0.110304475,0.09682783,0.02306311,0.7547341,1646.7809,58,1
1986,0.5744314,0.06381384,0.045451302,0.59690005,645.5374,57,1
1987,0.66829747,0.008505504,0.04707192,0.5568036,1707.3668,56,1
1988,0.8960722,0.16617076,0.033760812,0.5510085,907.92926,55,1
1989,0.11028776,0.14108753,0.038620647,0.55641836,1826.5432,54,1
1990,0.45953593,0.12588818,0.037519734,0.5534755,1488.1089,53,1
1991,0.109994985,-0.017454466,0.027524313,0.50231004,2903.881,52,1
1992,0.057549756,-0.017745337,0.030540729,0.60530454,1228.4017,51,1
1993,0.50981855,0.07335377,0.025572538,0.6642289,2487.6855,50,1
1994,-0.52203244,-0.34974322,0.033032205,0.73950595,1954.4775,49,1
1995,0.28369668,0.07078552,0.02999805,0.73148555,2572.6304,48,1
1996,0.9947948,0.13908482,0.03396852,0.7144446,698.9098,47,1
1997,0.52019954,0.11478138,0.03467781,0.5710636,791.1179,46,1
1998,0.3221884,0.11096891,0.03176611,0.47225025,1312.8693,45,1
1999,0.6143876,0.026361784,0.035794858,0.4752839,1640.6442,44,1
2000,0.7483544,0.075816475,0.036260806,0.5755308,1435.9114,43,1
2001,0.4637823,0.08558718,0.034243993,0.6059537,1294.838,42,1
2002,1.2561234,0.09867605,0.030869337,0.5794775,772.91345,41,1
2003,0.9976423,0.019561768,0.028935641,0.5517351,883.2373,40,1
2004,0.9146293,0.11616707,0.0174884,0.52787894,1375.0104,39,1
2005,0.8757672,0.002655983,0.028064353,0.4512168,672.2339,38,1
2006,0.8646197,0.0753142,0.0254305,0.42604688,806.4867,37,1
2007,0.65955335,0.01069959,0.022913681,0.46243092,1400.4495,36,1
2008,0.38927677,0.085536,0.029452726,0.5222228,855.6358,35,1
2009,1.0016898,0.077685036,0.03237124,0.51546246,573.35693,34,1
2010,0.9477255,0.052304268,0.029038206,0.54167813,1812.1302,33,1
2011,0.31247225,-0.12118626,0.0245784,0.5481763,369.24136,32,1
2012,1.0151001,-0.027394613,0.0222457,0.5259624,565.88995,31,1
2013,0.8937125,0.07002226,0.023847202,0.53181225,663.0695,30,1
2014,0.755434,0.026455244,0.024066009,0.53195006,896.93427,29,1
2015,0.8597657,-0.04005432,0.03127583,0.5925985,671.79956,28,1
2016,0.2148873,-0.16922283,0.03977712,0.6033387,203.49272,27,1
2017,1.0863831,-0.06600666,0.033035528,0.6554208,406.63034,26,1
2018,0.55794805,-0.13124593,0.026512591,0.573625,718.41284,25,1
2019,-0.01556613,-0.062208176,0.021095268,0.56556916,537.42926,24,1
2020,0.42675462,-0.050422985,0.0263473,0.4601941,1689.461,23,1
2021,0.6387329,-0.12583096,0.021976762,0.42891112,514.92255,22,1
2022,0.48745131,-0.23371856,0.01794175,0.5141435,300.18994,21,1
2023,0.65870714,-0.13598442,0.029388055,0.581706,279.14935,20,1
2024,0.51881415,-0.31630802,0.029131874,0.82058406,564.4763,19,1
2025,0.31952682,-0.21762688,0.031625807,0.8783474,287.94815,18,1
2026,-0.43475005,-0.59982204,0.03550482,0.945232,283.07562,17,1
2027,0.68077594,-0.28825855,0.023795957,0.91786104,336.60956,16,1
2028,1.0154939,-0.2211005,0.027504792,0.94991726,358.58878,15,1
2029,0.8760101,-0.28604063,0.041135117,0.9837248,262.44934,14,1
2030,0.50317,-0.25040308,0.030688567,1.0159515,241.51505,13,1
2031,-0.5247608,-0.6443345,0.035393637,1.0247414,136.10205,12,1
2032,0.7011142,-0.24460252,0.029054947,1.0191778,478.89966,11,1
2033,0.8045153,-0.26211676,0.029178903,0.9779391,433.1028,10,1
2034,0.629961,-0.19855277,0.03767465,0.7790291,271.95456,9,1
2035,0.77374583,-0.22687022,0.029403739,0.8196108,254.39864,8,1
2036,0.34204122,-0.31598315,0.041200895,0.8224416,126.202286,7,1
