Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,-0.18343286,-0.031835873,0.03393513,0.6503288,1350.8053,97,1
1951,0.6712199,0.039665222,0.03204338,0.58127755,584.68787,96,1
1952,0.3214505,-0.02944406,0.024309611,0.52703804,994.87665,95,1
1953,0.08454454,0.0014422735,0.021411942,0.52773654,1189.3286,94,1
1954,0.25592616,0.049423534,0.0281631,0.42540988,905.35394,93,1
1955,-0.16247392,-0.06376362,0.025924282,0.34610483,1185.5724,92,1
1956,-0.09891987,0.03391552,0.033221688,0.35096315,2228.5942,91,1
1957,0.1045539,0.05521838,0.027882114,0.42421463,1203.2994,90,1
1958,0.13306344,0.057305653,0.030079432,0.4592981,2321.4182,89,1
1959,0.512755,0.032086056,0.038875733,0.46205607,1261.8628,88,1
1960,-0.29948443,0.021889687,0.029289208,0.4372727,2077.4614,87,1
1961,0.09523352,0.034976643,0.03153603,0.4430357,1344.8765,86,1
1962,0.19709893,0.06462479,0.03168908,0.39668238,1139.3896,85,1
1963,-0.18600261,-0.06113561,0.033324003,0.36378586,1642.3038,84,1
1964,0.28219762,0.026893934,0.03334688,0.3693465,2183.221,83,1
1965,0.4738201,0.053601265,0.024388807,0.44177508,1207.2478,82,1
1966,-0.056430418,0.09693146,0.030642087,0.4699688,1542.6268,81,1
1967,-0.33558488,-0.06477451,0.030137837,0.45279637,1075.7369,80,1
1968,-0.19495058,-0.111273445,0.026694285,0.37833098,1335.3809,79,1
1969,-0.11190865,0.044822056,0.024556534,0.38794592,2121.1184,78,1
1970,0.007071773,-0.025568327,0.032664612,0.36167273,1753.6721,77,1
1971,-0.19310467,0.053247135,0.026547866,0.36114588,888.7287,76,1
1972,-0.22335672,-0.0722421,0.03912479,0.43615898,1417.639,75,1
1973,-0.21609497,-0.03451697,0.02807497,0.47450224,1408.0487,74,1
1974,-0.67929155,-0.14287376,0.027355254,0.45641425,1999.1254,73,1
1975,-0.0124028325,-0.00930659,0.024031317,0.46727312,1101.9994,72,1
1976,-0.12328986,-0.07675203,0.028096804,0.478915,2285.5913,71,1
1977,0.13223071,0.03355853,0.032296147,0.3691738,2410.9387,70,1
1978,0.08733964,-0.0029767354,0.034095462,0.3261499,1149.0376,69,1
1979,-0.009066145,-0.021038055,0.032169815,0.37764764,808.23755,68,1
1980,-0.27271107,0.047887802,0.032068063,0.39908156,1376.9623,67,1
1981,0.27389434,0.093444504,0.028900376,0.4362146,2164.6787,66,1
1982,-0.2988887,-0.007267634,0.021681922,0.53424895,2021.7668,65,1
1983,-0.3537289,-0.011188825,0.02715131,0.5466875,2848.3188,64,1
1984,0.63107675,0.07959715,0.032101475,0.52320546,796.9681,63,1
1985,0.30174574,-0.018658957,0.030133458,0.4950045,1674.7969,62,1
1986,0.10190487,-0.0008840561,0.036861833,0.41221443,1582.2952,61,1
1987,0.032377165,-0.016807875,0.030161701,0.41718516,1261.7389,60,1
1988,0.016483247,-0.045463562,0.03239806,0.55608016,2201.2546,59,1
1989,-0.01176544,-0.07056364,0.037141304,0.55671877,1979.8337,58,1
1990,-0.8784065,-0.28792128,0.025309304,0.5420216,364.30673,57,1
1991,-0.31121683,-0.028829893,0.031600725,0.53665596,1909.8362,56,1
1992,-0.14509912,-0.0014244715,0.03616908,0.47459865,912.71124,55,1
1993,-0.59038705,-0.097317696,0.036964267,0.4864066,1602.0256,54,1
1994,-0.18147713,-0.054387093,0.02641085,0.5401332,2656.809,53,1
1995,0.3756903,-0.06459427,0.03848643,0.55737567,1052.9694,52,1
1996,0.13920732,-0.10994276,0.040357817,0.50821704,443.2368,51,1
1997,0.28809264,-0.057900112,0.033342283,0.5135754,658.9773,50,1
1998,0.18890052,-0.103354454,0.039953355,0.44503513,1355.1687,49,1
1999,-0.38204598,-0.12675889,0.027400248,0.41270265,1405.6022,48,1
2000,-0.08892989,-0.062439602,0.029917574,0.41476595,636.41156,47,1
2001,0.17537588,-0.04722309,0.023956828,0.4005897,2467.2827,46,1
2002,0.27455693,-0.008664449,0.02800903,0.3690988,1929.3862,45,1
2003,0.04392034,-0.12401263,0.035377916,0.3867704,637.0049,44,1
2004,0.14178526,-0.061274845,0.034838315,0.3907378,1062.7982,43,1
2005,0.22673215,-0.052487373,0.023601115,0.38064405,874.7905,42,1
2006,-0.014992575,-0.15858714,0.036978945,0.3893441,1169.537,41,1
2007,-0.15625076,-0.20197964,0.014717835,0.38491333,585.0726,40,1
2008,-0.1403994,-0.045673054,0.02582459,0.37041318,1204.9901,39,1
2009,-0.25036326,-0.18855698,0.03749898,0.47987044,744.2649,38,1
2010,-0.08942767,-0.06279659,0.024881713,0.505516,1427.8514,37,1
2011,0.53249866,-0.11519114,0.027269287,0.5379108,513.5484,36,1
2012,0.08316469,-0.1186533,0.031654358,0.53859526,623.0339,35,1
2013,-0.59478855,-0.26748562,0.031613003,0.5514171,667.3196,34,1
2014,-0.14222975,-0.1040748,0.02015708,0.4928787,579.56146,33,1
2015,0.4585766,-0.04570039,0.02293731,0.49197003,957.64197,32,1
2016,-0.0010327498,-0.15352154,0.029638117,0.51396906,972.6492,31,1
2017,0.15535025,-0.2319727,0.032373298,0.5207284,321.48047,30,1
2018,0.5363355,-0.14631431,0.038934294,0.50208753,433.40637,29,1
2019,0.40620324,-0.16841538,0.0206978,0.52617794,639.6726,28,1
2020,0.19034763,-0.16235988,0.034455672,0.5755848,443.98474,27,1
2021,0.5695985,-0.16133022,0.032577667,0.6873049,466.635,26,1
2022,0.73591584,-0.11145496,0.02299388,0.7105631,408.17737,25,1
2023,-0.049621087,-0.2595428,0.019722803,0.77386403,1355.8668,24,1
2024,-0.16683464,-0.21912448,0.028377363,0.81213945,967.1526,23,1
2025,0.53908396,-0.16685359,0.02923367,0.8057074,708.63965,22,1
2026,0.69255847,-0.21597767,0.02461534,0.7093899,263.88162,21,1
2027,0.28985587,-0.3000288,0.02295351,0.7659196,291.54608,20,1
2028,0.25692144,-0.17401631,0.02650892,0.8404456,879.3441,19,1
2029,1.181882,-0.13786411,0.019534355,0.8947995,348.9326,18,1
2030,1.1695094,-0.15693347,0.027218036,0.8799271,345.4312,17,1
