Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,0.3506197,0.0023412704,0.03555387,0.4503609,2300.3245,84,1
1951,0.40903768,-9.409586e-05,0.035305537,0.4358201,698.0435,83,1
1952,0.45982948,-0.029613176,0.040731475,0.44521344,653.515,82,1
1953,0.11043612,-0.14239152,0.035667922,0.4470861,1096.5131,81,1
1954,0.40400675,-0.0157547,0.03091932,0.42152908,1206.4727,80,1
1955,0.21251261,-0.052951813,0.030648582,0.39287403,1424.5399,79,1
1956,-0.06463007,0.06776015,0.027492158,0.43812478,2704.9102,78,1
1957,0.15980534,0.014244397,0.028374398,0.4247168,577.55084,77,1
1958,-0.29683504,-0.026241302,0.034168486,0.43488654,1754.8323,76,1
1959,0.1748007,0.002166748,0.030968277,0.48242941,2012.4998,75,1
1960,-0.36018944,-0.07442951,0.035220016,0.47937512,1612.5627,74,1
1961,0.2577702,0.03151989,0.029030636,0.48516807,931.18427,73,1
1962,-0.2136153,-0.16999023,0.028749086,0.4931498,690.78687,72,1
1963,-0.45193923,-0.02164491,0.025414847,0.47253624,1384.2213,71,1
1964,0.05785801,0.0421079,0.02448286,0.4298565,1944.853,70,1
1965,-0.20943135,-0.0007193883,0.026362995,0.4284302,1951.138,69,1
1966,0.16682379,0.030778885,0.02798445,0.39071307,893.90955,68,1
1967,-0.13951285,-0.052274704,0.040007234,0.3443713,605.9947,67,1
1968,0.1711992,0.031793278,0.030751502,0.29514125,1019.89594,66,1
1969,0.063582934,-0.0037552516,0.03451844,0.31043902,410.61288,65,1
1970,0.2973331,0.055884045,0.03905231,0.31339052,1000.2387,64,1
1971,0.37409088,0.10377058,0.03566435,0.41964343,943.1781,63,1
1972,-0.022071242,0.087395035,0.025828974,0.5626574,1004.4997,62,1
1973,-0.4500595,-0.0640494,0.024543123,0.5499659,2523.6921,61,1
1974,-0.6273512,-0.039680798,0.026498007,0.47922835,2385.8462,60,1
1975,-0.16150801,-0.023729006,0.026130036,0.44415858,2270.4924,59,1
1976,-0.4478649,0.021139463,0.028937766,0.4249214,2646.8394,58,1
1977,-0.25621116,0.016191164,0.028170183,0.3313585,2577.7068,57,1
1978,0.05625701,0.0819273,0.03940383,0.35034657,1235.4982,56,1
1979,-0.10384544,0.05157916,0.047927897,0.36064145,2078.4849,55,1
1980,0.07910047,0.07672087,0.03506412,0.35849807,1393.2377,54,1
1981,0.27434665,-0.034365017,0.03642514,0.37603915,1705.64,53,1
1982,0.31810918,-0.006600698,0.029764576,0.4861902,1097.8403,52,1
1983,-0.15818436,-0.014009793,0.03118145,0.51461405,999.48645,51,1
1984,-0.553127,-0.063773155,0.032898422,0.52952397,1492.7084,50,1
1985,-0.1815011,0.0003862381,0.03169353,0.48533896,1288.5299,49,1
1986,-0.21111548,-0.06473541,0.034230024,0.47383884,1125.5953,48,1
1987,0.1268528,0.04904588,0.038044307,0.40882778,1048.7838,47,1
1988,-0.23627125,-0.03818353,0.043266382,0.41026866,1799.8555,46,1
1989,-0.105954826,0.042606037,0.03067732,0.3882426,1910.3015,45,1
1990,0.04997939,0.005958557,0.028962543,0.39529434,1588.8883,44,1
1991,0.3550446,0.029688517,0.038643185,0.37042996,887.1648,43,1
1992,0.09091941,0.032680195,0.03890967,0.3513405,1430.5154,42,1
1993,0.24909978,0.016462961,0.04297817,0.386497,872.1927,41,1
1994,0.20813783,0.09657415,0.041843414,0.43350837,949.0013,40,1
1995,0.601757,0.08177725,0.033962,0.4297036,1368.9644,39,1
1996,0.54428524,0.0541687,0.031865686,0.4545566,938.68933,38,1
1997,0.3117094,0.080046974,0.024909332,0.4447948,1540.1787,37,1
1998,0.6592668,0.082107864,0.029420765,0.5210381,2037.829,36,1
1999,0.44516456,0.015237808,0.03758445,0.49487817,1135.1581,35,1
2000,-0.22106977,-0.20900631,0.024921104,0.5088902,1276.327,34,1
2001,0.0066844425,-0.042035103,0.026980938,0.4983872,2299.0364,33,1
2002,0.42017314,0.06764475,0.022341015,0.5925881,1002.12885,32,1
2003,0.49772596,0.009208679,0.031274002,0.5250843,845.1174,31,1
2004,0.88998365,0.0734148,0.027955139,0.51199514,778.6211,30,1
2005,0.31113183,0.04331684,0.028976066,0.5061517,959.366,29,1
2006,0.6844494,0.03160445,0.03032144,0.53680474,647.8422,28,1
2007,0.32439765,0.008810997,0.035444472,0.48198858,1472.578,27,1
2008,0.72608155,0.09467188,0.02699449,0.4831445,691.1158,26,1
2009,0.6233399,0.06617705,0.027144566,0.46815768,1480.2162,25,1
2010,0.63033724,-0.02039369,0.022079265,0.4960805,745.24634,24,1
2011,0.25052747,0.009281158,0.022689655,0.51652354,972.9315,23,1
2012,0.36047348,0.06281853,0.023669854,0.53019726,1749.7406,22,1
2013,0.56696314,0.031182608,0.030531662,0.5734518,1681.1316,21,1
2014,0.53535557,0.0305446,0.02154809,0.6608111,940.4689,20,1
2015,0.72381145,-0.05560239,0.022781836,0.7705807,603.17,19,1
2016,0.43794167,-0.045802116,0.019053482,0.7702017,1656.8849,18,1
2017,-0.053018034,-0.15312798,0.02543237,0.7437098,628.614,17,1
2018,0.35104132,-0.13359737,0.027680634,0.7080315,853.5872,16,1
2019,0.20598233,-0.1705424,0.031871706,0.6460858,511.8459,15,1
2020,0.38954222,-0.15410423,0.035147335,0.53936565,553.0929,14,1
2021,0.07182165,-0.124082245,0.0325586,0.51089746,212.05833,13,1
2022,0.33154175,-0.08495045,0.031811636,0.56660575,315.50824,12,1
2023,0.42938414,-0.21468513,0.03092769,0.66691923,641.3553,11,1
2024,0.6720085,-0.16030248,0.037187245,0.6801495,369.86688,10,1
2025,0.82253486,-0.19089825,0.033398867,0.71743256,279.48517,9,1
2026,0.1923526,-0.39911017,0.03125384,0.75466806,333.8554,8,1
2027,0.35499611,-0.36200204,0.0361129,0.759111,472.73007,7,1
2028,0.9498455,-0.17900245,0.019478325,0.7547252,335.05576,6,1
2029,0.45553553,-0.29467392,0.04385853,0.8248972,249.44754,5,1
2030,-0.11365046,-0.37858453,0.023358792,1.0223494,395.25354,4,1
2031,0.121555805,-0.2919003,0.029305153,0.978013,731.2733,3,1
2032,-0.5926823,-0.49435806,0.03183451,1.0315088,136.074,2,1
2033,0.2149655,-0.3508307,0.02633121,1.1119107,547.7106,1,1
2034,-0.67652625,-0.38047186,0.034214355,1.141856,195.99326,0,1
2035,0.8548112,-0.22400856,0.014037572,0.99821043,288.46835,0,1
2036,0.8782511,-0.30355072,0.01844121,0.98412675,264.4529,0,1
2037,0.3495569,-0.31294313,0.030166844,0.8650586,196.29605,0,1
2038,0.43749246,-0.43566513,0.034956627,0.9099929,223.10632,0,1
2039,0.42731437,-0.6057866,0.0374468,0.88427544,106.45392,0,1
2040,0.6322128,-0.46606478,0.033528164,0.89585376,163.73607,0,1
2041,0.7026891,-0.3492616,0.040588334,0.90474796,158.37811,0,1
2042,0.88154316,-0.34294572,0.038078167,0.81746626,142.84277,0,1
2043,1.4077902,-0.44586244,0.03924909,0.83750105,208.47246,0,1
2044,0.81730646,-0.56224567,0.031467866,0.9595086,193.80368,0,1
2045,1.3597862,-0.39954153,0.025732154,1.0452386,261.29227,0,1
2046,1.7677836,-0.4189329,0.036774628,1.144907,208.78786,0,1
2047,0.43680218,-0.60357636,0.035487518,1.2845503,197.97212,0,1
2048,0.343515,-0.5009146,0.039993346,1.2978306,131.20317,0,1
2049,1.2779101,-0.5116987,0.031844992,1.344608,270.1994,0,1
2050,0.7736201,-0.4854752,0.033701528,1.2901073,218.2333,0,1
2051,-0.01944381,-0.9288209,0.037132602,1.3042046,74.275475,0,1
2052,0.7737541,-0.54955196,0.028822517,1.2524277,251.22194,0,1
2053,1.1232624,-0.71524876,0.031999614,1.2739248,241.28181,0,1
2054,0.52673465,-0.71118325,0.028151369,1.2182355,101.005646,0,1
2055,1.455526,-0.5213728,0.031592418,1.2259045,224.4316,0,1
2056,0.63592917,-0.8294201,0.029019961,1.241742,82.84878,0,1
2057,1.1939455,-0.741389,0.039542004,1.201645,164.2986,0,1
2058,1.6740274,-0.5203905,0.0459619,1.1465069,118.91843,0,1
2059,1.4165411,-0.64107925,0.022393191,1.0502087,159.45317,0,1
2060,1.2542583,-0.6241188,0.03922006,1.0936859,231.95647,0,1
2061,1.4187042,-0.58704853,0.043910947,1.1071931,110.55151,0,1
2062,1.8389889,-0.62549144,0.04012715,1.149795,185.07295,0,1
2063,1.0703987,-0.71184474,0.039509837,1.1968933,230.75522,0,1
2064,1.5237907,-0.46863112,0.030793501,1.2898079,282.00385,0,1
2065,1.4955503,-0.63562423,0.024549453,1.4035033,175.7214,0,1
2066,1.790864,-0.6970002,0.025887953,1.4471952,123.17713,0,1
2067,0.7887957,-0.9165723,0.04237917,1.5429312,82.42755,0,1
2068,1.3767799,-0.8027525,0.03149752,1.6097993,123.78561,0,1
2069,1.1469826,-1.0024179,0.023167387,1.5676222,72.67806,0,1
2070,1.7882141,-0.86124355,0.021427749,1.5124683,136.62482,0,1
2071,1.6168007,-0.8566065,0.02471829,1.4846069,180.6175,0,1
2072,0.8107147,-0.84586143,0.031679243,1.4807624,83.632835,0,1
2073,1.650526,-0.585399,0.034515318,1.5505229,84.51081,0,1
2074,1.6674536,-1.056372,0.039486933,1.6221453,59.108353,0,1
2075,1.2375004,-1.110371,0.030367455,1.6991768,52.91061,0,1
