Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,-0.42203593,-0.030133566,0.030709906,0.62026316,1011.5852,101,1
1951,0.19788004,-0.016703606,0.029716747,0.5749838,2381.473,100,1
1952,0.4773563,0.01924006,0.036667366,0.5339432,813.91125,99,1
1953,0.117247544,-0.006468455,0.034167398,0.46112773,994.8815,98,1
1954,-0.046236414,-0.014915149,0.035098415,0.41799882,1213.7388,97,1
1955,0.067661904,-0.008759181,0.037105333,0.37925926,2135.0525,96,1
1956,0.30473414,0.031055132,0.03322744,0.36393657,536.1141,95,1
1957,0.44413003,-0.006509781,0.037303958,0.34776187,709.7164,94,1
1958,0.29512236,-0.012390454,0.03428285,0.3440567,810.1423,93,1
1959,0.056556147,-0.0020271938,0.02596282,0.32541558,1299.2592,92,1
1960,0.1256249,0.066477455,0.021689719,0.30399823,1878.1018,91,1
1961,0.19518606,0.05988534,0.02879865,0.29379335,1855.4089,90,1
1962,0.19509636,0.0039927163,0.03496875,0.28335294,1826.6897,89,1
1963,0.07094965,0.06513214,0.03380954,0.33845472,1289.9723,88,1
1964,0.15428185,0.0925614,0.030207967,0.37109998,1165.5063,87,1
1965,-0.3515345,-0.020467123,0.026453963,0.37650147,2696.5068,86,1
1966,0.06526164,0.026671728,0.026723305,0.47400275,2150.648,85,1
1967,-0.26223552,0.04117425,0.029606657,0.48855528,1923.6635,84,1
1968,-0.5717334,-0.2457517,0.029361315,0.49933302,1132.2128,83,1
1969,0.14108004,0.0050849915,0.03473345,0.56770533,1632.0233,82,1
1970,0.29595932,0.049765904,0.037775904,0.5625718,2471.9236,81,1
1971,0.65652496,0.08083185,0.02697426,0.40056983,1101.5056,80,1
1972,0.27306488,0.0300773,0.023022702,0.42563084,1486.4177,79,1
1973,-0.06494284,0.08616129,0.029664474,0.45813635,1826.7267,78,1
1974,-0.25741088,-0.0061184564,0.029699432,0.5601054,1311.2584,77,1
1975,-0.04766353,0.0114205675,0.031494338,0.5533039,2297.4917,76,1
1976,-0.7752686,-0.037688572,0.030433305,0.5641913,2307.1035,75,1
1977,-0.5757124,-0.14749782,0.035214465,0.6324629,2724.6863,74,1
1978,-0.06270818,-0.0014130274,0.034787375,0.626167,2294.1777,73,1
1979,-0.62489337,-0.09880606,0.036971793,0.54583806,1310.4105,72,1
1980,-0.07134322,-0.013876597,0.04199856,0.49613562,1715.091,71,1
1981,-0.32885227,0.030445417,0.0450346,0.4981496,801.3268,70,1
1982,-0.31707746,-0.023604712,0.0353695,0.43606138,1218.0088,69,1
1983,-0.5225072,-0.009833972,0.039966796,0.44149423,1256.4575,68,1
1984,-0.56980354,-0.045969646,0.036325928,0.4587122,811.5635,67,1
1985,-0.39672098,-0.07290363,0.030516414,0.4577041,2587.3403,66,1
1986,0.0038745801,-0.04009056,0.034482893,0.45684138,1006.2927,65,1
1987,-0.17767902,-0.030630747,0.03422864,0.37920988,1334.155,64,1
1988,0.20225401,-0.010027249,0.036082845,0.31037086,1313.5883,63,1
1989,0.070949554,-0.050640423,0.042025078,0.30786344,1865.2227,62,1
1990,0.20004976,0.014854749,0.03283347,0.3181895,1650.6613,61,1
1991,0.23939985,0.010352452,0.024991982,0.32733637,1979.8201,60,1
1992,-0.04268809,0.045116425,0.031638164,0.3620433,1665.9148,59,1
1993,0.32117477,0.06611601,0.03447721,0.42209783,1010.22906,58,1
1994,0.50553024,0.06547133,0.026544413,0.50123715,777.3785,57,1
1995,0.07906085,-0.071687065,0.028431213,0.5188013,890.7292,56,1
1996,-0.3851397,-0.018139204,0.03729004,0.49996784,1337.8389,55,1
1997,-0.19671632,-0.08610821,0.03728269,0.42979252,1964.5132,54,1
1998,-0.13694449,0.042589504,0.035637956,0.38968506,876.01605,53,1
1999,0.12092497,-0.030545553,0.029792167,0.43553293,1762.984,52,1
2000,0.28767934,0.06387583,0.033999596,0.4061861,1487.3455,51,1
2001,0.5948586,-0.040976524,0.02682533,0.39106467,411.3741,50,1
2002,0.25777063,0.04478995,0.03215838,0.48601165,481.03314,49,1
2003,0.34563723,0.015748342,0.028229566,0.49946073,575.1822,48,1
2004,-0.36197862,-0.038146656,0.025341393,0.43572626,1162.1273,47,1
2005,-0.004065176,-0.077633224,0.03046604,0.4924606,1699.4244,46,1
2006,-0.18523528,-0.12750275,0.026380494,0.51938856,968.523,45,1
2007,0.48336014,-0.017560005,0.018010357,0.4934099,978.7363,44,1
2008,0.2533613,-0.057779312,0.030399166,0.52149504,1070.3986,43,1
2009,0.13512988,-0.2132171,0.037745427,0.67134196,521.7279,42,1
2010,0.45654824,-0.07039833,0.039634444,0.67105895,331.5929,41,1
2011,1.2358567,-0.028848967,0.036485616,0.79427147,393.27173,40,1
2012,0.3226246,-0.0947059,0.04083058,0.78602535,264.51443,39,1
2013,-0.4866394,-0.27956676,0.03529928,0.8734879,304.00937,38,1
2014,0.1413927,-0.13355096,0.029057669,0.78989524,1083.8713,37,1
2015,0.6885173,-0.1593008,0.019992767,0.8789535,547.5718,36,1
2016,-0.56749886,-0.2957271,0.016729992,1.0146729,1210.9896,35,1
2017,0.056583643,-0.20125167,0.032581892,1.075229,455.3528,34,1
2018,-1.0038162,-0.3341252,0.025084103,1.0219742,156.44499,33,1
2019,0.36154556,-0.13777542,0.034966182,1.0571243,478.20587,32,1
2020,-0.1950752,-0.3471508,0.027235089,0.97178274,558.25104,31,1
2021,0.24751598,-0.2189544,0.02466289,0.85431486,279.51425,30,1
2022,-0.011569798,-0.29207516,0.021794109,0.81252676,479.0732,29,1
2023,0.5965193,-0.11499151,0.017742386,0.7182682,403.69846,28,1
2024,0.092991866,-0.21531296,0.02414368,0.6967258,334.28918,27,1
2025,0.14237738,-0.32718053,0.03613377,0.6962344,221.22186,26,1
2026,-0.27242538,-0.35834694,0.025963703,0.5702483,357.0651,25,1
2027,-0.37429368,-0.270154,0.019292863,0.5900579,685.8718,24,1
2028,-0.14064473,-0.28189945,0.030788036,0.68116707,960.10236,23,1
2029,-0.06956887,-0.36159262,0.025536919,0.6821541,417.5599,22,1
2030,0.46599093,-0.31241512,0.015232454,0.66717046,663.51483,21,1
2031,-0.08446976,-0.3592504,0.019428419,0.78715855,492.55533,20,1
2032,0.0021225412,-0.37884775,0.028024971,0.8220423,285.31293,19,1
2033,0.83804506,-0.25615087,0.017451763,0.82218146,324.7169,18,1
2034,0.730505,-0.28573832,0.022522042,0.78895026,251.15941,17,1
2035,0.5186293,-0.32986355,0.022889456,0.74421865,773.61847,16,1
2036,0.74203986,-0.36500803,0.036715556,0.6781445,256.3949,15,1
2037,0.6404326,-0.32387033,0.03271017,0.6614383,294.94455,14,1
2038,0.56265575,-0.37544155,0.02984634,0.6770846,375.08978,13,1
2039,0.536156,-0.40861067,0.034316216,0.77032286,248.24287,12,1
2040,0.88565725,-0.40809217,0.022101136,0.80520034,254.08911,11,1
2041,1.4931116,-0.42994943,0.04400614,0.88451535,159.30177,10,1
2042,0.74317694,-0.3963213,0.030868197,0.9681975,298.3093,9,1
2043,0.010480404,-0.41806093,0.033414453,1.0045804,333.57858,8,1
2044,-0.04173396,-0.5566225,0.024443382,1.0541775,268.32825,7,1
2045,1.0558511,-0.4423596,0.033589426,1.0898498,269.62518,6,1
2046,1.3864032,-0.45184866,0.032221522,1.1822416,205.25816,5,1
2047,0.60779643,-0.5271635,0.031171598,1.1669809,119.859825,4,1
2048,-0.09598824,-0.7169711,0.02902454,1.1362892,151.68005,3,1
2049,0.24323267,-0.5050828,0.022950506,1.0594817,253.18643,2,1
2050,0.6488293,-0.33246168,0.03291832,1.0856545,382.14905,1,1
2051,0.7923239,-0.45850024,0.036693837,1.042334,328.20868,0,1
2052,0.7201946,-0.5012951,0.029059613,1.0426427,128.8452,0,1
2053,1.1252704,-0.47743765,0.03314657,1.0448314,103.49432,0,1
2054,1.1983434,-0.5366783,0.04388413,1.0219337,108.46159,0,1
2055,1.4187976,-0.62465066,0.030726926,1.0187793,158.11324,0,1
2056,1.472539,-0.6171563,0.02661029,1.0283161,212.68095,0,1
2057,1.4278159,-0.47285017,0.028739901,1.046141,206.63934,0,1
2058,0.79908085,-0.6219632,0.036170576,1.1752614,216.08485,0,1
2059,0.5104821,-0.5236117,0.04520935,1.2521468,139.99611,0,1
2060,1.0625725,-0.7104902,0.03943227,1.218128,70.0227,0,1
2061,1.2273918,-0.6352892,0.047974203,1.2602538,99.50527,0,1
2062,0.9493809,-0.64876366,0.028543541,1.418703,159.14954,0,1
2063,1.1972394,-0.6476081,0.036848795,1.341287,103.752205,0,1
2064,1.1405972,-0.8540265,0.028222613,1.2631792,74.69121,0,1
2065,1.736082,-0.672075,0.036721516,1.2454901,251.62964,0,1
2066,1.1580715,-0.6262439,0.03794779,1.2267221,154.62344,0,1
2067,1.3342189,-0.87804794,0.041893687,1.0706189,111.45366,0,1
2068,1.1121593,-0.753108,0.03593168,1.1097018,124.631256,0,1
2069,1.5649452,-0.70559245,0.033346485,1.1113205,177.00719,0,1
2070,1.6461616,-0.6126585,0.034224868,1.1987919,104.32957,0,1
2071,1.1547099,-0.71859807,0.03231937,1.2071503,131.17888,0,1
2072,1.6168462,-0.6945254,0.037691843,1.3085829,102.80599,0,1
2073,2.1453679,-0.6304369,0.030825347,1.32695,105.71226,0,1
2074,2.564621,-0.79135484,0.040569328,1.2949916,97.28551,0,1
2075,2.1940906,-0.7291705,0.027568921,1.2231747,164.97043,0,1
2076,1.7752694,-0.66890365,0.025341086,1.2693578,213.6644,0,1
2077,1.9433346,-0.86148864,0.034352124,1.2865183,232.40314,0,1
