Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,0.054660458,-0.122284256,0.029080546,0.5378365,1934.0957,82,1
1951,0.2076732,-0.013068517,0.028013945,0.5514498,1070.93,81,1
1952,-0.5180302,-0.108644485,0.027689977,0.5366238,1352.7726,80,1
1953,-0.51440203,-0.18379338,0.0337034,0.51191384,2060.172,79,1
1954,-0.20015045,-0.017073313,0.025210984,0.45290408,2322.1494,78,1
1955,-0.25012273,0.0069262185,0.028112145,0.48737156,2483.5703,77,1
1956,-0.07308793,-0.04743894,0.03504527,0.48334363,2895.8545,76,1
1957,0.3842187,-0.031709354,0.027136251,0.42628482,848.1046,75,1
1958,0.33545494,-0.02162393,0.036026537,0.44253805,687.9922,74,1
1959,0.17958891,0.045676548,0.030910986,0.44790164,966.65826,73,1
1960,-0.3631344,-0.016741117,0.028812433,0.40252843,1312.7695,72,1
1961,-0.079065956,-0.06098016,0.031526394,0.39717174,2247.7878,71,1
1962,-0.25100008,-0.014653523,0.024065427,0.4256809,1494.5817,70,1
1963,-0.2405715,-0.028559366,0.023200424,0.41522598,1359.0469,69,1
1964,-0.5069774,-0.103084885,0.027012138,0.41510153,2535.5068,68,1
1965,-0.30156633,0.016175589,0.034007337,0.42366433,2186.473,67,1
1966,0.017583767,0.041526478,0.029770097,0.375308,2245.8162,66,1
1967,-0.003617366,0.07123566,0.032841954,0.34333596,1563.4489,65,1
1968,-0.23804218,-0.012117386,0.030470565,0.36292338,2039.7511,64,1
1969,0.22882847,0.055720013,0.026366375,0.36346033,1361.0566,63,1
1970,0.44727382,0.07822609,0.033626705,0.37978014,1466.817,62,1
1971,0.03020803,-0.0022023518,0.024816044,0.37199548,1738.6869,61,1
1972,0.051091593,0.08654499,0.028526023,0.37570855,1499.897,60,1
1973,0.5395873,0.070734024,0.026267728,0.37628305,1774.2753,59,1
1974,0.15890674,-0.03798294,0.036499336,0.38006994,1362.366,58,1
1975,0.045583826,0.061998367,0.029677706,0.36140475,1442.125,57,1
1976,-0.04278435,0.027925173,0.027878871,0.33834183,2163.0667,56,1
1977,0.36213872,0.10671552,0.032416355,0.34134746,1714.7103,55,1
1978,0.38465896,0.055735588,0.03471535,0.3272683,1001.4276,54,1
1979,-0.0973073,0.0079847975,0.036655717,0.33418033,616.8911,53,1
1980,0.25240305,0.08883095,0.034760986,0.4096029,1668.1238,52,1
1981,0.46854368,0.03707695,0.03515398,0.4696497,2203.556,51,1
1982,-0.1208088,0.06472683,0.034716498,0.47874245,995.9043,50,1
1983,0.66247344,0.15746689,0.037520263,0.48787737,1091.3755,49,1
1984,0.41243255,0.10093117,0.033276033,0.6997771,848.4656,48,1
1985,0.550324,0.07441521,0.03196573,0.7261316,1165.9514,47,1
1986,-0.8341542,-0.30592918,0.034837365,0.7401485,1207.1525,46,1
1987,0.2850804,0.014171918,0.03637294,0.7847585,1932.7782,45,1
