Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,0.17586176,-0.14367549,0.03712099,0.33122984,1148.4783,84,1
1951,-0.059381586,0.053176243,0.028403977,0.3327666,1632.987,83,1
1952,0.015941521,0.04260985,0.03507963,0.32247514,1082.501,82,1
1953,0.1462429,-0.010701816,0.03488163,0.37245014,1134.5035,81,1
1954,0.22710222,0.060907047,0.02868437,0.4242442,1598.5979,80,1
1955,-0.28532255,0.10876814,0.028676284,0.40888405,1639.0597,79,1
1956,-0.16865136,-0.19108899,0.029428972,0.41404083,2212.1094,78,1
1957,0.049574513,0.101051964,0.03149669,0.41113678,2898.5122,77,1
1958,-0.35655656,0.06589476,0.041228004,0.5060708,2217.285,76,1
1959,0.07630795,0.058832485,0.038161315,0.47172967,871.5129,75,1
1960,0.5468966,0.07949289,0.036405463,0.52058154,458.06927,74,1
1961,-0.22635663,-0.0134585695,0.035466377,0.57000715,1630.3542,73,1
1962,0.031980097,0.086071014,0.038229708,0.5958618,1469.1761,72,1
1963,-0.4227773,0.009249687,0.030620888,0.53866017,1937.9514,71,1
1964,0.36989126,0.03866005,0.032484394,0.5366196,1194.9136,70,1
1965,0.427143,0.1179231,0.040071875,0.53163874,876.7493,69,1
1966,0.2373801,0.10855516,0.032805543,0.4677076,1230.1453,68,1
1967,-0.4237442,-0.13268693,0.028956795,0.4530562,2027.5626,67,1
1968,0.33137152,0.1739076,0.032338142,0.5398269,962.18774,66,1
1969,-0.082665466,0.0735054,0.03298596,0.5611143,867.43787,65,1
1970,-0.48493418,-0.17722416,0.03369931,0.59638804,2294.2244,64,1
1971,0.2356777,0.12290827,0.039213423,0.5982883,1539.7976,63,1
1972,0.5830846,0.06950983,0.044982042,0.5938253,1089.8708,62,1
1973,0.0875783,-0.11850643,0.03162385,0.59771985,922.7605,61,1
1974,0.19780247,0.055538815,0.040268768,0.8812814,851.8109,60,1
1975,-0.372326,-0.25615755,0.040216524,0.83019525,579.58563,59,1
1976,-1.2906028,-0.55715305,0.03930327,0.7873145,1888.5756,58,1
1977,-0.45744848,-0.0047918954,0.041794702,0.8543229,1606.1044,57,1
1978,-0.24900447,0.052001953,0.02983982,0.92343515,2300.2695,56,1
1979,0.5055138,0.056171417,0.027868653,0.72365355,1418.5623,55,1
1980,0.6344226,0.07068411,0.030138815,0.66957706,565.28455,54,1
1981,-0.5643811,-0.16703796,0.028400017,0.67127013,1668.3721,53,1
1982,-0.27034357,0.07074038,0.028729908,0.6019743,2265.4119,52,1
1983,-0.03441727,0.13460064,0.031124314,0.4478438,1804.3082,51,1
1984,-0.3698409,0.011821111,0.036377754,0.40960336,2237.9365,50,1
1985,-0.009235442,0.10322984,0.032197963,0.51242244,2124.366,49,1
1986,-0.19928361,-0.25635052,0.03483544,0.5207407,863.40955,48,1
1987,0.5067236,0.080599464,0.035721943,0.5928349,782.25116,47,1
1988,0.27116805,0.072982155,0.03532848,0.6261734,1027.2863,46,1
1989,0.2755178,0.058689434,0.031207418,0.589486,1402.3282,45,1
1990,-0.027246675,-0.09623464,0.028315375,0.52038276,700.7298,44,1
1991,-0.043401103,0.04261303,0.0301864,0.52188975,1495.8893,43,1
1992,0.1212124,0.113853455,0.035417695,0.37895823,1920.8329,42,1
1993,-0.2238487,0.07510948,0.043515813,0.35277322,1637.8099,41,1
1994,0.085970104,0.043108623,0.02837004,0.3804218,856.13293,40,1
1995,0.45912647,0.1444486,0.035035133,0.45294178,822.37,39,1
1996,0.10126176,0.046387035,0.025171906,0.46446764,1027.6774,38,1
1997,0.47947064,0.041763622,0.035561413,0.54305935,518.46344,37,1
1998,-0.25424308,0.006895701,0.03501626,0.56714994,1668.3876,36,1
1999,0.66028905,0.09041277,0.031489257,0.63493496,2166.4548,35,1
2000,0.38661394,0.10967255,0.029046744,0.6973373,2135.337,34,1
2001,0.41827664,0.03391679,0.028437525,0.72580427,1792.3821,33,1
2002,0.87165165,0.11699454,0.025750386,0.720416,1555.7538,32,1
2003,0.83240104,0.04659112,0.030467642,0.7115016,1514.8131,31,1
2004,0.47650227,-0.018696466,0.034412894,0.6915682,919.44775,30,1
2005,0.62470156,0.11070093,0.028804744,0.62547904,1470.4393,29,1
2006,1.0388168,0.10088062,0.03760879,0.5238244,579.03326,28,1
2007,0.6359806,0.13623047,0.026536219,0.5627138,616.7112,27,1
2008,0.42229757,-0.07456716,0.030763574,0.5702519,1898.1489,26,1
2009,1.0214057,-0.020203909,0.024970466,0.71379185,1798.6925,25,1
2010,0.67570037,0.096754394,0.025637485,0.7626272,1160.7206,24,1
2011,1.4415569,0.117967926,0.03314289,0.7542181,327.45972,23,1
2012,0.8329575,-0.01056989,0.02900341,0.7467789,306.26358,22,1
2013,0.7247711,0.08262888,0.025545442,0.783621,1475.1749,21,1
2014,1.0904667,0.059854507,0.029878804,0.7043133,321.3681,20,1
2015,1.2024773,0.008320491,0.035914693,0.6821875,931.66876,19,1
2016,0.30178395,-0.006749471,0.025559783,0.68445516,1754.7695,18,1
2017,0.60132,0.010266622,0.024751656,0.63031864,1642.9891,17,1
2018,0.5165627,-0.021816254,0.01866942,0.5540019,859.92993,16,1
2019,0.5648902,-0.10474142,0.022971436,0.5843015,1140.5737,15,1
2020,0.96059966,-0.01176707,0.026677711,0.6258401,295.89334,14,1
2021,0.92114615,0.018178305,0.023868889,0.69524914,729.65784,13,1
2022,1.2705816,0.024289131,0.03723334,0.7214582,251.6081,12,1
2023,1.1411377,0.04024728,0.02283054,0.7743745,1476.6459,11,1
2024,0.8881567,-0.117580734,0.02491712,0.84362394,487.77646,10,1
2025,1.099173,-0.14344692,0.037329037,0.84410733,177.22029,9,1
2026,0.5599589,-0.3176085,0.03609338,0.8303995,310.07068,8,1
2027,0.61571795,-0.07265568,0.02792693,0.8000002,969.86566,7,1
2028,0.7351015,-0.13255374,0.028689487,0.7220731,203.84048,6,1
2029,0.41536796,-0.06699816,0.018279167,0.60326767,1068.9375,5,1
2030,0.3987279,0.022050858,0.021007495,0.6188971,1179.7859,4,1
2031,0.5939701,-0.15712674,0.025524288,0.7281091,367.88364,3,1
2032,0.46174368,-0.20109813,0.02665905,0.8422025,275.65125,2,1
2033,1.0017287,-0.17525768,0.019606946,0.91863877,405.6959,1,1
2034,0.358349,-0.24425061,0.025926886,0.9884811,247.99109,0,1
2035,0.8270586,-0.3422451,0.023738265,1.0290684,243.86841,0,1
2036,0.6550176,-0.33055273,0.03972951,0.97947675,164.27165,0,1
2037,0.3819681,-0.30803713,0.023174047,0.97099024,230.73697,0,1
2038,1.0874017,-0.18403625,0.03321929,1.0274761,312.75174,0,1
2039,1.008531,-0.30044588,0.03593064,1.0953941,219.41972,0,1
2040,0.9739647,-0.35858378,0.032170847,1.1000469,237.8593,0,1
2041,0.509006,-0.39693546,0.03581546,1.1280731,147.23875,0,1
2042,1.1843671,-0.34646288,0.023582475,1.1527086,323.42615,0,1
2043,0.5698085,-0.44164562,0.029524168,1.0949528,230.21207,0,1
2044,0.7694204,-0.48322168,0.032508403,1.0766438,207.13411,0,1
2045,0.44431672,-0.3993031,0.024863048,1.0578822,181.30219,0,1
2046,1.2088078,-0.37316862,0.03403232,1.0313017,288.9841,0,1
2047,1.0054497,-0.40866056,0.03598541,0.96817607,226.96028,0,1
2048,1.2977502,-0.4344797,0.04241769,0.95609313,150.29108,0,1
2049,1.2844443,-0.49199042,0.03374027,1.0297472,273.02002,0,1
2050,1.1708765,-0.41213164,0.029021842,1.137765,274.0971,0,1
2051,0.87889165,-0.6154156,0.03727745,1.2903324,103.59455,0,1
2052,1.5624257,-0.49887148,0.032231938,1.3604432,268.88153,0,1
2053,0.3663118,-0.66903657,0.02887247,1.4355196,112.79774,0,1
2054,1.7868186,-0.40533414,0.032988843,1.5746298,181.21756,0,1
2055,0.8382883,-0.7512903,0.02923292,1.5414861,176.70663,0,1
2056,-0.43454054,-1.0077244,0.041623343,1.508783,77.168175,0,1
2057,0.8866079,-0.6438071,0.034565162,1.4218396,174.26271,0,1
2058,0.9105478,-0.6394968,0.030632736,1.4823895,135.88116,0,1
2059,0.5076911,-0.7594417,0.03235399,1.3456903,83.539,0,1
2060,1.617673,-0.735445,0.02959256,1.345312,116.33676,0,1
2061,1.0719302,-0.73389816,0.023962194,1.3310796,131.18257,0,1
2062,1.5403231,-0.6065588,0.035315443,1.3588881,161.94604,0,1
2063,1.8073348,-0.6609402,0.033867624,1.3549743,232.44754,0,1
2064,1.5730371,-0.58826894,0.041323263,1.3447827,79.44267,0,1
2065,0.8613782,-0.7256959,0.044525236,1.4753733,103.37772,0,1
2066,1.7945124,-0.683575,0.042918954,1.6705451,198.77301,0,1
2067,0.97318226,-0.93951577,0.03894082,1.7214528,85.08926,0,1
2068,0.45756373,-1.0934788,0.034117065,1.7685877,56.35788,0,1
2069,0.30335155,-1.1064838,0.026635798,1.792951,63.530277,0,1
2070,0.91248304,-0.91320866,0.019149713,1.7031536,73.02865,0,1
2071,1.8858782,-1.0250295,0.03516943,1.5550256,73.47177,0,1
2072,0.7861414,-1.211883,0.03498067,1.4846164,104.82215,0,1
2073,0.7707162,-1.1145611,0.025644317,1.4512277,99.50735,0,1
2074,1.2235253,-1.209665,0.030820407,1.4972407,111.59212,0,1
2075,1.4501251,-0.74413615,0.04402746,1.5956689,85.10412,0,1
2076,1.6023525,-0.803428,0.036910962,1.6242862,83.473465,0,1
2077,1.9693624,-0.82388115,0.04092008,1.619131,88.9824,0,1
2078,1.6365561,-0.8932915,0.022469833,1.6700296,98.72746,0,1
2079,1.1086482,-0.9218343,0.027341442,1.6763061,87.40159,0,1
2080,2.0150871,-0.89165276,0.021950826,1.6443282,102.51147,0,1
2081,1.3753325,-1.014666,0.03510908,1.646808,94.90087,0,1
2082,1.4484363,-1.0662779,0.019152442,1.6828798,98.66539,0,1
2083,0.9250612,-1.2876362,0.030526496,1.6576018,92.308266,0,1
2084,1.938264,-0.83522195,0.03539888,1.6422459,97.85557,0,1
2085,2.5516899,-0.9618495,0.024672287,1.6417946,114.26729,0,1
2086,2.3133485,-0.8121732,0.011641725,1.6373559,106.14852,0,1
2087,2.1227758,-0.82540256,0.021228423,1.6124064,88.91851,0,1
2088,1.7793674,-0.9390119,0.030054646,1.666553,69.73875,0,1
2089,2.1372018,-0.6022031,0.031805348,1.774672,145.06543,0,1
2090,2.5004466,-1.0466999,0.030795291,1.8194731,61.70075,0,1
2091,2.6180842,-1.2006012,0.022551222,1.9039942,72.42551,0,1
2092,2.1151757,-1.1993113,0.03686424,1.8934983,91.64109,0,1
2093,2.0804822,-0.9735298,0.017025826,1.8097893,100.40571,0,1
2094,1.9640311,-0.9323533,0.027468948,1.8154722,175.83966,0,1
2095,2.1992366,-0.8750763,0.017079234,1.7597466,140.92288,0,1
2096,2.991995,-1.0093561,0.029863035,1.6064221,127.778595,0,1
2097,2.448353,-1.0985336,0.032231424,1.6592593,89.50332,0,1
2098,2.815716,-1.0412308,0.025909944,1.7311369,131.8616,0,1
2099,2.6242158,-1.1107492,0.028532103,1.6593741,82.10873,0,1
