Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,0.51125133,0.044751484,0.0336077,0.6514721,781.29364,91,1
1951,-0.2006998,-0.13317807,0.038781833,0.5888184,1822.2234,90,1
1952,-0.07887769,-0.07740084,0.030914849,0.56904,586.4406,89,1
1953,0.27437848,0.041713398,0.02992794,0.5664463,647.9373,88,1
1954,0.433197,0.08801206,0.033818413,0.5814846,1542.5138,87,1
1955,-0.080075584,0.07995224,0.0203756,0.5551205,2368.0972,86,1
1956,-0.6824835,-0.15242131,0.023587124,0.5361716,2614.1504,85,1
1957,-0.32194266,-0.17621581,0.023973085,0.47517845,1599.234,84,1
1958,-0.07266673,0.03789266,0.024680665,0.49183908,1683.4689,83,1
1959,-0.07340994,-0.06881682,0.027749786,0.48001048,1021.4691,82,1
1960,-0.42279235,-0.082605995,0.037425574,0.4443415,1932.0288,81,1
1961,0.078481294,0.069680534,0.033440668,0.4512949,1648.2102,80,1
1962,0.13891463,0.108181,0.032501776,0.46263418,934.0915,79,1
1963,0.28642038,0.080023766,0.036487997,0.45262596,1005.87366,78,1
1964,0.35857475,0.109537125,0.030671537,0.48898292,1768.2892,77,1
1965,-0.39640152,-0.00060590106,0.031422783,0.51040834,1382.8617,76,1
1966,-0.25598308,-0.0065205893,0.036545727,0.52892566,2328.8145,75,1
1967,0.19602609,-0.044326466,0.03133755,0.54183674,1708.5667,74,1
1968,-0.02062895,-0.022943178,0.032016207,0.49342027,2046.2032,73,1
1969,-0.2874712,-0.21831958,0.03675787,0.4726471,1712.762,72,1
1970,-0.05519386,0.062765755,0.03315147,0.4663284,1237.5383,71,1
1971,-0.034365,-0.004512469,0.04033767,0.44742784,1090.5117,70,1
1972,-0.22097075,0.00420475,0.03890544,0.40372285,798.0408,69,1
1973,-0.08194709,0.040602684,0.043015078,0.41167784,1411.1162,68,1
1974,-0.4817467,-0.006685575,0.040165503,0.40364766,1844.4006,67,1
1975,0.08581096,-0.030103683,0.041817114,0.47925174,1438.2092,66,1
1976,-0.092563175,0.05622387,0.041747507,0.4967896,1543.045,65,1
1977,0.6255713,0.027971268,0.042740066,0.43803898,665.02313,64,1
1978,0.16231753,-0.08090051,0.039489057,0.40538085,1056.524,63,1
1979,0.38233018,0.14845021,0.03589101,0.3823007,982.83325,62,1
1980,0.32694474,0.105594,0.032148052,0.3406836,2438.2896,61,1
1981,0.047406673,0.07379818,0.040107835,0.3927138,1855.1478,60,1
1982,0.3322877,0.04238987,0.036622036,0.44725838,1993.1307,59,1
1983,0.58384436,0.048546154,0.037956987,0.4676043,2384.623,58,1
1984,-0.19397713,0.12965266,0.028791385,0.47470567,1892.1902,57,1
