Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,0.07835158,-0.037967682,0.034418296,0.36591616,1105.8556,114,1
1951,-0.05678916,-0.0013701121,0.036896545,0.37264344,527.2233,113,1
1952,0.018288454,0.0004081726,0.02848403,0.38158938,1706.2177,112,1
1953,0.15402418,0.0009800593,0.028863423,0.3657551,645.43024,111,1
1954,0.41814673,-0.028639158,0.03417277,0.42158756,1507.6002,110,1
1955,0.43786752,0.058716137,0.035628553,0.44780597,557.5493,109,1
1956,-0.38904586,-0.032148678,0.024414944,0.44514963,2007.6797,108,1
1957,-0.16243483,-0.054991405,0.030121392,0.4079615,2372.6135,107,1
1958,-0.15357108,0.05324173,0.028691,0.48760188,1432.6008,106,1
1959,0.05343783,-0.03060913,0.029953785,0.506488,2646.2095,105,1
1960,0.63166696,0.031185469,0.035352077,0.4993787,1014.0573,104,1
1961,0.2838147,-0.0019817352,0.02896932,0.58052146,1144.8022,103,1
1962,0.4250132,0.041941006,0.029405512,0.60550064,1164.3239,102,1
1963,-0.48316506,-0.087981224,0.03182945,0.54354686,2238.0261,101,1
1964,0.3097587,0.018737474,0.02645089,0.4991449,2192.8184,100,1
1965,0.09220179,0.046372414,0.03303723,0.47665516,1842.799,99,1
1966,-0.12626886,-0.04507637,0.03217529,0.49763766,821.8561,98,1
1967,-0.24087383,-0.025613785,0.029010506,0.47238258,914.24475,97,1
1968,-0.65454465,-0.023085594,0.026943801,0.42572033,1606.3236,96,1
1969,-0.42640874,0.018495241,0.030714586,0.40802047,1645.5408,95,1
1970,-0.40169236,-0.0012528101,0.033495303,0.54466486,1785.833,94,1
1971,-0.47504377,0.034873962,0.028697917,0.55844635,841.1281,93,1
1972,0.43726555,0.028575579,0.040495288,0.5276594,597.27246,92,1
1973,0.34822226,-0.071320534,0.044359308,0.5034737,701.13556,91,1
1974,-0.077367865,0.012366931,0.033176288,0.42679873,1189.0647,90,1
1975,0.33711907,0.0039873123,0.02997897,0.39782044,362.51065,89,1
1976,0.08831159,0.0047032037,0.03756808,0.46688616,548.56116,88,1
1977,0.020835916,0.055565834,0.036555372,0.45520946,2095.0916,87,1
1978,-0.40002498,-0.008711497,0.028970761,0.4201872,1660.5714,86,1
1979,-0.071440436,0.034715015,0.031822428,0.4048516,1980.0337,85,1
1980,-0.015654841,0.005882263,0.04109547,0.38379943,1246.4734,84,1
1981,-0.3328139,-0.043581963,0.031417493,0.3749119,2060.7256,83,1
1982,-0.035960536,-0.029181162,0.04431433,0.430375,1792.3163,82,1
1983,-0.5581107,-0.022219658,0.034073427,0.4423704,1387.1373,81,1
1984,0.19357459,-0.027043661,0.03424368,0.43845436,664.81085,80,1
1985,-0.0024978716,-0.14382331,0.035381507,0.528989,871.5637,79,1
1986,-0.117414914,-0.00043551126,0.039711475,0.5946006,1615.854,78,1
1987,0.5265144,-0.027875265,0.041767415,0.5651284,456.35263,77,1
1988,-0.79873365,-0.25406837,0.035515998,0.5608786,303.38535,76,1
1989,-0.23365241,-0.13807964,0.02867234,0.5757646,1355.5836,75,1
1990,-0.020818353,-0.08042017,0.026925793,0.4772495,1957.4396,74,1
1991,0.19644713,-0.015396436,0.033999998,0.35082278,1527.573,73,1
1992,-0.17948443,-0.023115158,0.029524716,0.34173027,1600.8848,72,1
1993,-0.13645685,-0.029342333,0.02808784,0.36431172,835.391,71,1
1994,-0.03552262,0.021203676,0.028126853,0.34539962,1156.4408,70,1
1995,0.13588719,-0.062037785,0.032268446,0.37739697,843.61926,69,1
1996,-0.21020997,-0.047364872,0.029590717,0.55537385,1308.5253,68,1
1997,0.24556033,0.011387189,0.03024879,0.6236991,1178.3016,67,1
1998,-0.9888088,-0.16560237,0.03375952,0.6480635,1804.7906,66,1
1999,-0.29337555,-0.16367245,0.03544227,0.6592508,1860.9458,65,1
2000,0.16010056,-0.037390072,0.031840626,0.6741414,1081.296,64,1
2001,-0.1973633,-0.06734848,0.031729948,0.53660995,421.2148,63,1
2002,0.32825693,-0.08489577,0.044811334,0.4466767,268.88107,62,1
2003,0.15434217,-0.052431744,0.042819187,0.39927363,638.2098,61,1
2004,0.08678734,-0.033707302,0.033703785,0.5390299,649.45386,60,1
2005,0.035702944,-0.1344862,0.0314628,0.5038343,773.19965,59,1
2006,-0.6140059,-0.17076237,0.031762708,0.5067126,1343.693,58,1
2007,-0.010069112,-0.05169932,0.026844183,0.49182367,1086.4117,57,1
2008,-0.3661367,-0.07719008,0.03748515,0.4628912,959.5772,56,1
2009,-0.053691942,-0.004737854,0.026911365,0.40250757,1513.3687,55,1
2010,-0.107721485,-0.04508241,0.026080782,0.46088803,2207.1902,54,1
