Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,-0.56611806,-0.1396691,0.029675893,0.3817477,1897.1406,109,1
1951,-0.17805034,-0.003976504,0.03724983,0.35713187,1550.4072,108,1
1952,-0.48802006,-0.11097431,0.023637362,0.36781535,2197.7375,107,1
1953,-0.3526872,-0.008949597,0.036200132,0.375357,1660.649,106,1
1954,-0.6095792,-0.0072189965,0.029246336,0.38252744,2162.6863,105,1
1955,-0.14644974,0.024954477,0.029581837,0.42650887,2087.297,104,1
1956,-0.5302524,-0.19245179,0.040206205,0.45951948,794.74805,103,1
1957,0.0068351827,-0.1304261,0.034432825,0.46457383,604.52637,102,1
1958,-0.02237465,-0.062905945,0.028849356,0.48434103,878.0187,101,1
1959,0.31366512,-0.007222811,0.0338113,0.41908637,1600.9749,100,1
1960,0.3895005,0.034086544,0.03643302,0.43533608,1125.5923,99,1
1961,0.448429,0.012203534,0.029538522,0.5110686,2191.1353,98,1
1962,-0.28196627,-0.041330975,0.030352479,0.4908662,2323.8833,97,1
1963,-0.34863088,-0.09882673,0.02848056,0.44228756,1570.8455,96,1
1964,0.099025965,0.083441414,0.029193245,0.40079114,1259.9529,95,1
1965,-0.036340076,0.03522396,0.029412119,0.41404665,1602.3118,94,1
1966,0.2846156,0.09173425,0.031560864,0.39783454,1964.0248,93,1
1967,0.12038058,-0.0071258545,0.044997424,0.4308708,2266.9897,92,1
1968,-0.39989153,0.0077721276,0.031666856,0.4454695,2475.8164,91,1
1969,0.20100425,0.07131767,0.034916688,0.44508874,1698.1953,90,1
1970,-0.086853825,0.042978603,0.03322364,0.53606933,1950.6079,89,1
1971,0.28009677,0.08460522,0.035986714,0.47478342,1312.2284,88,1
1972,0.94017124,0.05335458,0.039784342,0.5129385,704.32465,87,1
1973,0.42316756,0.021033287,0.041337837,0.5384218,606.3266,86,1
1974,0.022391578,-0.0119075775,0.036833722,0.55346936,509.41754,85,1
1975,-0.03106296,0.019972483,0.027346333,0.47881016,1976.3259,84,1
1976,-0.010270993,0.09207249,0.023213394,0.43070033,2186.3828,83,1
1977,-0.18468177,0.09306049,0.03031923,0.43253407,2062.2144,82,1
1978,0.031071663,0.05023098,0.03454938,0.42844486,2039.7019,81,1
1979,0.61991006,0.05898698,0.03859499,0.44928586,655.7977,80,1
1980,0.092964254,-0.05405013,0.03896035,0.42710125,1026.892,79,1
1981,-0.25016472,0.04755974,0.034941882,0.46134457,2498.485,78,1
1982,0.08134794,-0.01170222,0.04113774,0.45247233,1774.3678,77,1
1983,0.31776178,0.07079569,0.029939199,0.42994455,1587.2524,76,1
1984,-0.21966541,0.08937582,0.034877885,0.43775925,1919.8824,75,1
1985,0.07817326,0.073641144,0.029639855,0.4554251,1988.7201,74,1
1986,0.29208922,0.11284796,0.029958708,0.43883893,1700.2448,73,1
1987,0.49802098,0.05785815,0.033833142,0.41221735,1351.5542,72,1
1988,0.029088518,-0.04401048,0.037302442,0.49135324,850.9248,71,1
1989,0.13829118,0.08096441,0.02791453,0.5060939,802.6386,70,1
1990,-0.24312086,-0.13065307,0.04183224,0.48491588,512.9142,69,1
1991,0.2866772,-0.12974007,0.03266297,0.497782,2381.8223,68,1
1992,0.16065592,-0.026439985,0.027271258,0.51369435,730.45496,67,1
1993,-0.24771513,-0.15603352,0.035432395,0.47812638,705.88916,66,1
1994,-0.4529805,-0.15041287,0.03250991,0.44761193,868.01086,65,1
1995,0.029597322,0.024344126,0.03159805,0.46765804,941.8528,64,1
1996,0.3488522,0.063406624,0.03627959,0.42085168,1731.9456,63,1
1997,0.22519301,0.04944865,0.028593756,0.3596337,1044.7572,62,1
1998,0.27918485,0.044439,0.030277431,0.3308253,1368.4073,61,1
1999,0.32335556,-0.03602473,0.03234298,0.396817,821.5373,60,1
2000,0.3416697,-0.030660948,0.037001017,0.40860203,624.19257,59,1
2001,0.47947785,0.055611294,0.028313937,0.44871393,1693.9109,58,1
2002,0.23311508,-0.010890325,0.025173435,0.47828212,2602.9927,57,1
2003,0.44476345,0.078837715,0.0236675,0.48757926,1284.7078,56,1
2004,0.77674335,0.034160297,0.021626523,0.46182546,503.1416,55,1
2005,0.4416369,0.022686005,0.035166882,0.44181502,778.6268,54,1
2006,0.81690985,0.028645834,0.029973106,0.4057125,258.37103,53,1
2007,0.8595128,0.03207779,0.027205074,0.41259298,612.3951,52,1
2008,0.64778453,-0.15435441,0.032714617,0.46979737,589.6501,51,1
2009,0.8492375,0.014704068,0.025144724,0.47854868,942.8973,50,1
2010,0.19384374,-0.09912809,0.02508936,0.47180966,685.87915,49,1
2011,0.50684184,0.010818799,0.032030914,0.4733362,1568.1906,48,1
2012,0.28084823,-0.012700717,0.021362768,0.42217144,816.9911,47,1
2013,0.4806687,-0.032548267,0.024245357,0.42888018,402.9283,46,1
2014,0.20237714,-0.120270096,0.026539428,0.58746094,1975.9313,45,1
2015,-0.19232132,-0.2716767,0.027150827,0.64602184,321.30997,44,1
2016,0.8335548,-0.08599631,0.021007255,0.6609017,858.5327,43,1
2017,0.68174523,-0.059651375,0.025374407,0.7463536,584.7592,42,1
2018,0.22995158,-0.12874031,0.015709573,0.71310186,944.9855,41,1
2019,0.73640436,-0.083444916,0.022695303,0.6019787,162.83908,40,1
2020,0.33772957,-0.04580021,0.019519622,0.56808203,280.55408,39,1
2021,0.1967779,-0.16862202,0.027745793,0.57883996,912.48157,38,1
2022,0.5496578,-0.24408467,0.022198563,0.4814802,605.71014,37,1
2023,0.5223567,-0.24360561,0.026981125,0.5071438,607.4311,36,1
2024,0.46735105,-0.25513014,0.021175936,0.60626507,351.05508,35,1
2025,0.39798567,-0.29742208,0.020011974,0.6675251,407.14102,34,1
2026,0.44912347,-0.27140236,0.021025343,0.69210285,986.76733,33,1
2027,0.08913221,-0.293856,0.014756965,0.77633554,145.56299,32,1
2028,0.33890596,-0.15236823,0.011379386,0.77231044,545.592,31,1
2029,-0.048254054,-0.24501579,0.03141236,0.7324237,233.40866,30,1
2030,0.4360664,-0.35532093,0.031533584,0.85355073,525.8841,29,1
2031,0.44907752,-0.25549158,0.021194614,0.92747194,187.95903,28,1
2032,1.444615,-0.32197538,0.043840453,0.95693976,219.62794,27,1
2033,0.39679906,-0.45301405,0.045654476,1.0672201,225.26569,26,1
2034,-0.076521955,-0.44663873,0.02067042,1.167899,155.17448,25,1
2035,0.46292332,-0.27989674,0.03387924,1.1560775,286.38516,24,1
2036,1.2170335,-0.24858665,0.028083382,1.1393377,150.19809,23,1
2037,1.0891595,-0.31803703,0.036219243,1.0290918,220.51662,22,1
2038,0.7778032,-0.32364336,0.033577774,0.9490411,104.60683,21,1
2039,0.9970315,-0.27646318,0.040180616,0.89019233,245.81058,20,1
2040,0.5041102,-0.41138458,0.03416003,0.8969092,121.11516,19,1
2041,0.6352237,-0.21107037,0.02502487,0.90007144,385.55328,18,1
2042,0.9826455,-0.25768185,0.036056384,0.98803955,377.5617,17,1
2043,1.136332,-0.19088109,0.026881056,1.0287809,509.5465,16,1
2044,1.6017456,-0.26086012,0.027531974,0.9818024,229.90623,15,1
2045,1.6669197,-0.3525063,0.038029354,0.9408231,324.17807,14,1
2046,1.2530233,-0.35448933,0.030314418,0.94284606,205.75804,13,1
2047,1.7382175,-0.3587357,0.032674205,0.92547053,300.6978,12,1
2048,1.3875147,-0.44231573,0.034524523,0.9588639,280.05695,11,1
2049,1.042872,-0.37956333,0.030566094,1.0228578,238.22336,10,1
2050,0.7495311,-0.5756251,0.03545687,1.030314,234.64326,9,1
2051,1.3306168,-0.42261124,0.04578961,1.0366303,220.62502,8,1
2052,1.1230836,-0.38949713,0.04184447,1.0201708,116.355934,7,1
2053,1.3522153,-0.44049612,0.03801999,1.0346308,123.85064,6,1
2054,1.1497166,-0.47525024,0.032494813,1.0243775,154.17676,5,1
2055,2.0499794,-0.5236632,0.04768909,0.99345034,162.90144,4,1
2056,1.2839223,-0.5039012,0.036452703,1.0079731,157.826,3,1
2057,1.3043547,-0.42957148,0.04728369,1.0644695,118.73318,2,1
2058,1.6057545,-0.35433707,0.037020188,0.9842122,385.25925,1,1
2059,1.075351,-0.45596442,0.040799815,0.97511905,184.97485,0,1
2060,1.3873309,-0.4162728,0.03954623,1.085217,283.2375,0,1
2061,0.83284634,-0.5824849,0.03886972,1.0560493,288.5272,0,1
2062,1.1905876,-0.45185056,0.025620094,1.1726748,264.70862,0,1
2063,1.4395617,-0.44825235,0.047565836,1.2054685,87.31322,0,1
2064,2.120992,-0.56529206,0.031071804,1.1518356,144.61584,0,1
2065,1.8808919,-0.43729272,0.03276649,1.0146822,123.235756,0,1
2066,1.4262333,-0.54470855,0.023286479,1.0019635,296.3483,0,1
2067,1.6904793,-0.46533266,0.034470737,0.92515296,201.33167,0,1
2068,1.9553908,-0.51610404,0.03511087,0.98646945,139.52026,0,1
2069,1.72124,-0.6152356,0.03720799,1.1045665,96.65435,0,1
2070,1.5295385,-0.64298123,0.03750764,1.1620531,156.98454,0,1
2071,1.9577069,-0.4769357,0.027010513,1.2942322,132.82378,0,1
2072,1.9905933,-0.653594,0.035957035,1.445042,153.63234,0,1
2073,2.1368,-0.8782377,0.046001796,1.4159527,100.78286,0,1
2074,2.315139,-0.83145267,0.027400553,1.4160048,79.899734,0,1
2075,2.5203893,-0.63261193,0.045310188,1.4840518,206.46019,0,1
2076,2.4209301,-0.7225091,0.027908005,1.5147148,271.08948,0,1
2077,1.9134417,-0.8770962,0.022806339,1.5255848,216.03734,0,1
2078,1.9335394,-0.9396092,0.018700184,1.6745838,77.710495,0,1
2079,1.3065548,-1.0374346,0.03165632,1.7146875,146.49379,0,1
2080,0.71212405,-1.2111591,0.021568464,1.7508994,68.27482,0,1
2081,1.6554375,-0.99586105,0.014739956,1.7532536,80.45851,0,1
2082,2.3539624,-0.77158576,0.012898491,1.7640047,97.021164,0,1
2083,1.2516896,-0.98749477,0.022525817,1.6241975,135.48833,0,1
2084,2.2439892,-0.93137616,0.02286601,1.4964308,77.3222,0,1
2085,1.9026709,-1.064381,0.03166624,1.4209366,102.56982,0,1
2086,2.379095,-0.8475113,0.029324556,1.2804691,155.35497,0,1
2087,2.2836478,-1.1576134,0.03445953,1.1907837,84.75884,0,1
2088,2.1570725,-1.1387392,0.019073129,1.4119921,102.09585,0,1
2089,2.1316602,-1.0063648,0.023109464,1.6037068,92.60268,0,1
2090,2.6083996,-1.0136868,0.029498035,1.8249854,66.74541,0,1
2091,1.6799442,-1.1564388,0.020383796,1.926335,73.596405,0,1
2092,1.3437897,-1.1365083,0.025721828,2.0639474,93.51755,0,1
2093,1.8728623,-0.9926402,0.020004438,2.0049841,62.133595,0,1
2094,2.644963,-0.8805974,0.01631042,1.9009262,127.65511,0,1
2095,1.327009,-1.351326,0.026599659,1.7775397,92.56532,0,1
2096,2.0250795,-1.1897802,0.031033194,1.7358009,96.5773,0,1
2097,2.4081757,-1.2630543,0.03635396,1.6064111,80.23886,0,1
2098,2.843559,-1.0608906,0.030455776,1.4881378,106.478676,0,1
2099,2.7475612,-1.1217476,0.023147961,1.4771657,124.313774,0,1
