Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,0.17215325,-0.0066903434,0.024513232,0.32217053,870.2577,87,1
1951,0.31699044,0.045346577,0.026702775,0.3114073,1478.4685,86,1
1952,0.2639656,0.029664993,0.0322319,0.31349877,1660.7106,85,1
1953,-0.039123494,0.035128593,0.03184999,0.32972497,1705.9565,84,1
1954,0.19806641,0.002225558,0.038314473,0.3570043,1225.5186,83,1
1955,0.24580799,0.019904455,0.027562542,0.42531076,734.18695,82,1
1956,0.11383802,-0.043415386,0.030399883,0.5172886,1566.1364,81,1
1957,-0.4270083,-0.018886248,0.027657026,0.54981154,1375.5895,80,1
1958,-0.20726822,-0.048264187,0.02575566,0.5223288,2106.2773,79,1
1959,-0.16592859,-0.0025018055,0.026897429,0.5878583,1095.2816,78,1
1960,-0.08865621,-0.044576008,0.0357929,0.5589507,1983.1577,77,1
1961,0.55806077,0.015944162,0.031666335,0.52926326,1748.5988,76,1
1962,-0.08473184,-0.010703723,0.028710434,0.48497745,561.3225,75,1
1963,0.50309986,0.021904627,0.02838762,0.45848164,415.59,74,1
1964,0.14235038,0.013669332,0.034030203,0.5183317,1124.332,73,1
1965,0.028986135,0.0077781677,0.028615063,0.564554,1027.2981,72,1
1966,-0.5797346,-0.041496914,0.035516273,0.5138369,1645.1295,71,1
1967,-0.27529624,-0.15613937,0.024164649,0.47585037,1364.9623,70,1
1968,-0.033111017,0.0505902,0.028634703,0.46754956,2217.9802,69,1
1969,-0.018887797,0.04903539,0.026355535,0.4005216,598.86053,68,1
1970,0.12996185,0.05764739,0.038635854,0.40836236,1445.9427,67,1
1971,-0.24573441,0.07850361,0.03206635,0.44260642,1388.1454,66,1
1972,-0.49251044,-0.3479465,0.031379342,0.43555415,2799.0813,65,1
1973,-0.4685292,-0.029678026,0.030479021,0.5007959,2625.4465,64,1
1974,-0.14943928,0.017266909,0.032808978,0.49404585,2614.2258,63,1
1975,0.37737134,0.080290474,0.042831827,0.47601834,1596.0771,62,1
1976,0.068531096,0.022138277,0.039660692,0.4361402,1837.7474,61,1
1977,0.3849888,0.05458927,0.034958456,0.43576166,1157.229,60,1
1978,-0.24797595,0.03859965,0.037415262,0.42195463,1235.522,59,1
1979,-0.014240702,0.07686647,0.034145605,0.4334664,1011.0564,58,1
