Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,-0.3689429,0.001077334,0.03316027,0.5387873,2040.189,91,1
1951,0.011723678,0.0131766,0.03294078,0.54131615,907.79785,90,1
1952,0.7647632,0.058918953,0.029362043,0.48770985,900.4267,89,1
1953,0.42976728,0.036100704,0.028289447,0.40337792,810.4816,88,1
1954,0.25099114,-0.005602201,0.03354947,0.3894278,745.8526,87,1
1955,0.09162619,0.020856857,0.031143593,0.33198118,883.0171,86,1
1956,0.32179633,0.02839311,0.040774737,0.31926474,1910.9692,85,1
1957,0.58670264,0.073701225,0.03354009,0.34217393,910.1858,84,1
1958,0.46260402,-0.026705107,0.03911695,0.3926972,1429.9524,83,1
1959,0.33062947,0.031696636,0.029680787,0.40428004,1374.096,82,1
1960,0.16524267,-0.142615,0.02741559,0.4252665,2657.6287,81,1
1961,0.020706177,0.069974266,0.0234608,0.42053857,1484.9695,80,1
1962,-0.15732718,0.0625515,0.024227545,0.45146167,1940.3501,79,1
1963,0.43856105,0.087174095,0.021620935,0.5378822,1834.8164,78,1
1964,-0.3882558,-0.059955914,0.024128368,0.6299814,2457.678,77,1
1965,-0.74517375,-0.14260738,0.026167782,0.62955797,2428.9585,76,1
1966,-0.21670137,0.08328947,0.020398581,0.62322587,1407.6069,75,1
1967,0.086633004,0.07337284,0.026927767,0.7523322,1379.6971,74,1
1968,-0.46552494,-0.03808562,0.02774921,0.7150609,688.4737,73,1
1969,-0.9695049,-0.26953092,0.04175931,0.6605148,1792.6964,72,1
1970,-0.3115939,-0.031306267,0.039947465,0.6397522,1739.4265,71,1
1971,-0.015905539,-0.028107008,0.035666976,0.6036505,614.1065,70,1
1972,-0.4934989,-0.0602417,0.036140766,0.45756269,580.9544,69,1
1973,0.073737584,0.02994887,0.03707065,0.4684651,1554.592,68,1
1974,-0.7135832,-0.03037993,0.038667433,0.45189115,1942.6162,67,1
1975,-0.59917325,-0.043055534,0.034839135,0.45519057,1743.7072,66,1
1976,-0.3065552,0.030858994,0.03093441,0.5270626,2285.4902,65,1
1977,-0.016141692,0.026078543,0.02904748,0.5369732,1570.234,64,1
1978,0.39856496,0.009405136,0.03375112,0.51707095,1008.2386,63,1
1979,0.5604064,0.07152653,0.024055297,0.45418563,739.2684,62,1
1980,0.77342623,0.070077896,0.036533337,0.43387678,709.60504,61,1
1981,0.19689143,0.02949079,0.043360848,0.5425568,852.66364,60,1
1982,0.11570827,0.072769165,0.033411287,0.6017658,847.4303,59,1
1983,-0.20623738,-0.0883859,0.03829718,0.60889107,537.94696,58,1
1984,0.17409982,0.06541952,0.031547863,0.612505,2180.3328,57,1
1985,-0.54352736,-0.00892067,0.030309154,0.6134967,2207.483,56,1
1986,-0.28088155,-0.014054616,0.03425893,0.6041207,2243.4666,55,1
1987,-0.04453655,-0.0073804855,0.032928325,0.6401437,2194.2712,54,1
1988,0.2161711,0.1040713,0.026535826,0.58252114,1761.7343,53,1
1989,0.63294333,-0.008200328,0.02603093,0.5234559,773.77203,52,1
1990,-0.0803056,-0.029572487,0.0350289,0.51799244,735.9106,51,1
1991,0.16283993,-0.021304766,0.03502637,0.46624395,1337.6683,50,1
1992,-0.07978789,0.025385857,0.028858477,0.4073143,2077.646,49,1
1993,0.3407844,0.042872112,0.037637133,0.3668619,527.9203,48,1
1994,0.35678267,-0.04677391,0.03119534,0.3598138,589.968,47,1
1995,0.1487772,0.017608643,0.03555565,0.3894563,1844.2349,46,1
1996,0.323112,-0.03749593,0.03663123,0.5773305,769.64465,45,1
1997,0.051759105,-0.09701761,0.025016861,0.6370042,1765.3842,44,1
1998,-0.6824313,-0.27516842,0.039233226,0.6543334,1121.6686,43,1
1999,-0.038235884,-0.18164794,0.03154966,0.66052264,2078.4128,42,1
2000,0.2951989,-0.090442024,0.03211888,0.64906603,1708.4592,41,1
2001,0.2703269,-0.09264215,0.03448503,0.5232213,592.117,40,1
2002,0.27763233,0.0017973582,0.02961187,0.4292554,639.30914,39,1
2003,-0.19310933,-0.008423805,0.041022375,0.42615864,1391.4237,38,1
2004,-0.050249975,-0.104714714,0.029514587,0.40451595,617.05054,37,1
2005,0.4021926,0.016925812,0.032804277,0.38746047,377.1617,36,1
2006,0.22874005,-0.16523139,0.030872837,0.38000664,907.25287,35,1
2007,-0.15012902,-0.13811238,0.026328484,0.4378328,1434.367,34,1
2008,0.26351362,-0.09845098,0.023891123,0.559426,2134.991,33,1
2009,0.2733351,-0.06653658,0.02415404,0.59761363,1260.9194,32,1
2010,0.70054597,-0.04580752,0.03239262,0.6031987,1659.7566,31,1
2011,-0.14729494,-0.110780396,0.029807305,0.64802265,608.02075,30,1
