Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,-0.41040182,-0.10378361,0.027181013,0.3695841,1517.8892,103,1
1951,-0.5272854,-0.083078705,0.02308554,0.40996528,1910.6675,102,1
1952,-0.3698647,-0.082149506,0.028089648,0.42761883,2525.6277,101,1
1953,-0.3028112,-0.09946505,0.019229675,0.48328057,1101.1356,100,1
1954,-0.29793537,-0.06930065,0.025880056,0.46177363,1797.5962,99,1
1955,-0.12018138,-0.047661144,0.037289765,0.47681555,2238.2637,98,1
1956,-0.27108333,-0.07107226,0.040948223,0.5006032,988.38983,97,1
1957,0.19957943,0.04331271,0.030267283,0.49267945,760.6082,96,1
1958,0.28748038,0.013581276,0.03439493,0.4662964,1551.8606,95,1
1959,0.46214792,0.027218819,0.039806787,0.44595632,907.7126,94,1
1960,0.5572118,0.089242935,0.03174821,0.44460943,1865.5544,93,1
1961,-0.08778715,-0.05565675,0.04042116,0.424948,1614.241,92,1
1962,0.23173685,0.046655018,0.029129386,0.43433484,2068.1157,91,1
1963,0.121010184,0.027670542,0.03863414,0.39576343,1807.8204,90,1
1964,-0.22548306,-0.042021435,0.03094163,0.40932187,2233.3362,89,1
1965,-0.24374937,-0.009972572,0.032230344,0.39951673,875.7421,88,1
1966,0.22082187,0.07382838,0.03362083,0.42411134,2155.9016,87,1
1967,0.22667675,-0.0035680134,0.040639043,0.42446566,720.46136,86,1
1968,-0.22904658,0.017041842,0.04370519,0.45665905,900.2713,85,1
1969,0.042126894,-0.043216705,0.04128525,0.46131942,1293.9406,84,1
1970,-0.24043481,0.056665737,0.032902446,0.47738588,1468.2418,83,1
1971,0.3897458,0.09323788,0.030048555,0.47663724,2071.7673,82,1
1972,-0.24471045,0.07591661,0.03259457,0.46932194,1898.1212,81,1
1973,-0.18394102,-0.036127407,0.03172118,0.47375464,1668.0824,80,1
1974,0.0068172016,0.06560453,0.03674428,0.48221436,1591.2106,79,1
1975,0.21909724,-0.08733972,0.037769694,0.50391144,1085.7972,78,1
1976,0.3985505,0.13023949,0.0377584,0.48534045,954.53394,77,1
1977,0.446607,0.09860865,0.02749206,0.4657528,1925.0425,76,1
1978,-0.16613986,-0.12330309,0.033519953,0.42075083,1377.8578,75,1
1979,0.1251858,0.092487656,0.030869767,0.46217188,1274.5441,74,1
1980,-0.0139418645,0.006392479,0.03586055,0.3781141,1634.3845,73,1
1981,-0.42028165,-0.044415157,0.03459638,0.3575199,1846.4191,72,1
1982,0.24920337,0.06506475,0.037525263,0.37233725,952.8354,71,1
1983,0.1276867,0.09314696,0.031195989,0.39705682,663.53845,70,1
1984,0.00087281066,0.06783644,0.036014996,0.44701108,1007.44086,69,1
1985,0.37104478,0.095490776,0.037341803,0.47409394,1300.8434,68,1
1986,0.56792116,-0.038296383,0.04001792,0.48856893,430.94434,67,1
1987,0.2788562,0.005672137,0.03717008,0.48873708,1258.032,66,1
1988,0.009916703,-0.038009007,0.041412596,0.55587876,964.4673,65,1
1989,0.0020505984,0.028120995,0.033964615,0.4898388,1848.2189,64,1
1990,0.5769716,0.025731722,0.031221801,0.45082256,1809.8041,63,1
1991,0.123286285,0.06811587,0.039241407,0.43409738,1129.5253,62,1
1992,0.24917161,0.12104384,0.03514073,0.44205943,1379.5903,61,1
1993,0.028465271,0.06805738,0.037234444,0.35403773,1017.3389,60,1
