Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,0.06979241,-0.052131653,0.032593735,0.33925426,1372.0356,86,1
1951,0.044239324,0.034691494,0.037594404,0.3542173,1181.6748,85,1
1952,-0.20068212,-0.025561014,0.036556162,0.3672035,2401.0186,84,1
1953,0.24816988,0.08983294,0.026123123,0.3980362,818.65906,83,1
1954,-0.16842073,-0.21652603,0.02933426,0.4017881,1392.2673,82,1
1955,0.19740695,-0.040136974,0.028479686,0.44153908,1838.1456,81,1
1956,0.07055613,0.02544117,0.027721046,0.6444283,1410.2502,80,1
1957,-0.38213745,-0.16270638,0.03758489,0.6413414,1306.1259,79,1
1958,-0.69831514,-0.43135962,0.026485525,0.59764415,2300.947,78,1
1959,-0.13598432,0.03415394,0.03805354,0.58208376,2085.9043,77,1
1960,0.029260973,0.054420155,0.03743788,0.5880308,2135.3958,76,1
1961,-0.104015864,0.073311485,0.040673815,0.5106922,1150.851,75,1
1962,-0.16682257,-0.00031820932,0.0354348,0.5498217,1400.7344,74,1
1963,-0.80464983,-0.27966246,0.03692173,0.5759874,1871.2571,73,1
1964,0.28956896,0.079473816,0.034227263,0.5774308,2002.0629,72,1
1965,0.046143472,-0.0028187435,0.0376256,0.5442378,767.29944,71,1
1966,-0.007858932,-0.04954688,0.026791751,0.38562903,2192.743,70,1
1967,-0.06481484,0.04420789,0.028390018,0.36715937,1492.1533,69,1
1968,-0.003430128,0.061542828,0.03613844,0.41120782,2276.5813,68,1
1969,0.18284188,-0.030337652,0.03527998,0.4543859,2060.0762,67,1
1970,-0.19504839,0.012531917,0.035134967,0.46783683,1810.4004,66,1
1971,0.12347279,0.09858322,0.029759107,0.45159438,1145.7356,65,1
1972,0.14241509,0.040962536,0.044248026,0.44705406,565.3586,64,1
1973,-0.005477965,0.056943893,0.03791738,0.36315688,1788.151,63,1
1974,0.23094584,0.043861706,0.02874954,0.39731303,1535.516,62,1
1975,0.19955295,0.097566605,0.03298035,0.38915047,1928.5247,61,1
1976,0.63325876,0.14282036,0.02818128,0.37863728,1016.91406,60,1
1977,0.054781657,0.12755775,0.032701004,0.37866625,2418.409,59,1
1978,-0.031906266,0.07771778,0.028470777,0.41526127,2765.5776,58,1
1979,0.280667,0.053576153,0.029396115,0.32856458,2159.552,57,1
1980,0.12649204,0.04191017,0.039233156,0.35699987,951.18494,56,1
1981,0.24773651,0.15877438,0.033122536,0.35032508,2401.428,55,1
1982,0.42423868,0.16772015,0.03371394,0.35432914,1210.9938,54,1
1983,0.29200283,0.12863286,0.025304487,0.35295677,1841.442,53,1
1984,0.18160605,0.12880547,0.0360562,0.5051221,1229.3573,52,1
1985,0.661165,0.09997654,0.029894592,0.5688104,1110.6765,51,1
1986,1.1456562,0.07400354,0.03834638,0.5874998,618.69916,50,1
1987,-0.02110211,-0.070772804,0.02665118,0.6035655,981.7347,49,1
1988,0.07158494,0.071824074,0.028053373,0.6213482,2320.01,48,1
1989,0.42962196,0.12368456,0.032075692,0.53222436,2496.3447,47,1
1990,0.7929086,0.13639577,0.025537627,0.47138026,2251.8516,46,1
1991,0.6296451,0.12211832,0.029763581,0.4685665,1934.83,45,1
1992,0.46832561,0.15204366,0.035214294,0.499361,1244.9604,44,1
1993,0.4975673,0.07677778,0.034314994,0.5059589,793.69293,43,1
1994,0.38103786,0.009590785,0.03448263,0.48203197,1061.2592,42,1
1995,0.6651829,0.20561631,0.02826737,0.49487427,1623.2344,41,1
1996,0.3289411,0.14036973,0.03206722,0.4997976,1668.1884,40,1
1997,0.42874697,-0.023682913,0.035995077,0.4549435,1396.1228,39,1
1998,0.05030177,-0.01665306,0.029873805,0.43481424,1566.8835,38,1
1999,0.3123246,0.08726692,0.025412874,0.5201941,602.7313,37,1
2000,0.63088447,0.0896438,0.023488825,0.5290543,890.3374,36,1
2001,0.89597344,0.09669272,0.03040359,0.48894057,1016.41943,35,1
2002,0.38427082,-0.018662771,0.032044157,0.50326145,692.49756,34,1
2003,0.6025464,0.06122939,0.034305766,0.53146356,519.02826,33,1
2004,0.7140444,0.0306743,0.028398156,0.48951092,633.6735,32,1
2005,0.79095507,0.13936584,0.025396744,0.49454176,1859.4326,31,1
2006,0.8594168,0.089177765,0.032035563,0.5033577,1600.2739,30,1
2007,0.988488,0.12799485,0.027480574,0.51714903,962.4905,29,1
2008,0.8571357,0.11480077,0.028643252,0.53163826,987.1345,28,1
2009,1.2524573,0.15749168,0.030644096,0.57740414,357.91647,27,1
2010,0.6220065,0.13094425,0.018398942,0.59134674,758.9783,26,1
2011,1.0482582,0.070814766,0.01465144,0.56923336,950.4207,25,1
2012,0.7718772,0.03353818,0.022452006,0.56159645,286.5479,24,1
2013,0.70814544,0.00553449,0.028869824,0.60943514,1590.8853,23,1
2014,1.106841,0.009472847,0.034052826,0.6053118,1788.5885,22,1
2015,1.2935206,0.09500853,0.020652665,0.6057901,641.5386,21,1
2016,0.85268277,-0.032069843,0.020446142,0.7039593,352.0313,20,1
2017,0.9320607,-0.03195985,0.018227752,0.6912715,695.4867,19,1
2018,0.9222975,-0.062963165,0.025798792,0.71595794,390.50305,18,1
2019,0.5698038,-0.060085934,0.023017481,0.7576366,491.1741,17,1
2020,0.063531555,-0.19283898,0.029543953,0.725154,568.5229,16,1
2021,0.6197781,-0.033662796,0.024223605,0.6324586,678.1719,15,1
2022,0.25657004,-0.20655124,0.019158358,0.6550313,623.4519,14,1
2023,0.67081064,-0.17629273,0.02742658,0.60900706,644.5518,13,1
2024,0.5070475,-0.15243499,0.027075985,0.5846644,244.7786,12,1
2025,0.40490064,-0.17944431,0.028604023,0.6121155,342.07144,11,1
2026,0.8056981,-0.13451354,0.025273124,0.5932824,253.2331,10,1
2027,0.48986828,-0.023706436,0.030555708,0.6276389,541.83,9,1
2028,0.5641268,-0.13919003,0.026558118,0.73419446,601.6707,8,1
2029,0.5406019,-0.20344448,0.024136344,0.79706526,646.2487,7,1
2030,0.5886874,-0.2385524,0.023461265,0.8650696,360.30515,6,1
2031,0.77952224,-0.2001028,0.022617606,1.0410094,365.9422,5,1
2032,0.5059456,-0.16067569,0.02681759,1.0373574,248.40909,4,1
2033,1.2672777,-0.15595531,0.033721317,1.0014855,278.49237,3,1
2034,0.82049865,-0.30588308,0.03158416,1.0560389,209.87419,2,1
2035,0.8005705,-0.18504779,0.03059454,1.2355715,494.1744,1,1
2036,0.4945047,-0.41503334,0.038886614,1.1919328,278.14587,0,1
2037,0.0886999,-0.45864168,0.03583825,1.2096646,85.41729,0,1
2038,0.43185142,-0.44767317,0.03733063,1.2779323,308.88693,0,1
2039,0.6970215,-0.42058244,0.024522258,1.3893495,217.85744,0,1
2040,1.1921788,-0.34123388,0.027829418,1.23889,293.64642,0,1
2041,0.8959786,-0.4890442,0.03330559,1.1679217,79.576294,0,1
2042,0.5007395,-0.42767143,0.027478954,1.1443084,133.69771,0,1
2043,1.0715048,-0.29508972,0.034663484,1.1671923,202.17828,0,1
2044,1.4121248,-0.23299439,0.033342414,1.0625578,269.54498,0,1
2045,0.43149903,-0.4542211,0.027443575,1.0765079,303.82516,0,1
2046,-0.19607107,-0.45335642,0.041497584,1.0916035,124.26364,0,1
2047,0.98979014,-0.34490362,0.0380592,1.2330047,210.47925,0,1
2048,0.47874174,-0.34614214,0.020773238,1.2539399,342.31537,0,1
2049,1.6974541,-0.3894863,0.030587615,1.1589835,289.50797,0,1
2050,1.3191646,-0.354743,0.028713668,1.1061903,221.5493,0,1
2051,1.623332,-0.34541383,0.040880043,1.052828,239.40202,0,1
2052,1.1483116,-0.45208994,0.047256876,1.1063789,173.65067,0,1
2053,1.908053,-0.44288635,0.04623836,1.1682771,116.41302,0,1
2054,2.4596817,-0.39959812,0.036405157,1.3344946,157.60123,0,1
2055,1.3124813,-0.5765972,0.03375091,1.4321889,195.72356,0,1
2056,1.0262033,-0.728673,0.026268778,1.4453478,65.659546,0,1
2057,1.6146187,-0.43429947,0.029144844,1.3872033,278.56866,0,1
2058,1.5016747,-0.53603584,0.03501741,1.3772768,157.07877,0,1
2059,1.8860912,-0.51540214,0.031069273,1.2654686,158.7251,0,1
2060,1.7058663,-0.37008572,0.036128387,1.2780243,245.24094,0,1
2061,1.7123781,-0.37156868,0.032455057,1.3699336,157.79317,0,1
2062,2.1805215,-0.54149276,0.030806795,1.425211,226.55225,0,1
2063,1.8429685,-0.6326742,0.036146794,1.382346,93.89026,0,1
2064,1.6570314,-0.61747074,0.035310365,1.409845,82.803696,0,1
2065,2.0483165,-0.50360364,0.03519504,1.3906158,148.9994,0,1
2066,2.3678608,-0.37006316,0.027468292,1.3399204,182.37968,0,1
2067,2.2390625,-0.4130732,0.037666753,1.2899246,154.94246,0,1
2068,1.890317,-0.62672967,0.041085906,1.3176745,191.86884,0,1
2069,2.0636709,-0.48018613,0.04062527,1.3115565,142.11908,0,1
2070,1.161711,-0.6548376,0.03782772,1.3018974,149.75047,0,1
2071,2.1383662,-0.69614476,0.023334013,1.2554716,123.419304,0,1
2072,2.018419,-0.65956813,0.022446556,1.2926055,179.68997,0,1
2073,2.1445446,-0.45470238,0.03569601,1.2393136,199.60571,0,1
2074,2.8093894,-0.55525655,0.03683641,1.2866681,165.83923,0,1
2075,1.7994953,-0.5596002,0.034693085,1.3683329,279.26175,0,1
2076,2.4984133,-0.6136856,0.044845667,1.4643482,176.35521,0,1
2077,1.6229576,-0.64747524,0.014808077,1.3869244,70.58662,0,1
2078,1.4340053,-0.70440704,0.024090609,1.4979819,79.52561,0,1
2079,2.4559574,-0.46620592,0.029659778,1.5159568,318.477,0,1
2080,2.7275984,-0.9515769,0.04116125,1.5641044,120.86008,0,1
2081,2.2279375,-0.9393279,0.025029473,1.5817095,101.00737,0,1
2082,2.987058,-0.68429565,0.018267026,1.7060138,86.24486,0,1
2083,2.3760035,-1.0040439,0.033685792,1.7928895,102.944786,0,1
2084,2.4804986,-0.9025838,0.04216534,1.9950033,111.07712,0,1
2085,2.0964787,-0.7977883,0.034143995,2.1019256,114.47885,0,1
2086,1.362422,-1.0072294,0.017626183,2.1621697,61.021317,0,1
2087,0.5337594,-1.3108139,0.020184273,2.1706479,72.571785,0,1
2088,2.4746225,-1.0360518,0.014601569,2.127168,89.547844,0,1
2089,1.56134,-1.2432833,0.014770009,1.9901613,91.48669,0,1
2090,1.9236435,-0.97108394,0.017217824,1.7889162,94.40766,0,1
2091,2.3904464,-1.0553881,0.013613287,1.6453258,113.075485,0,1
2092,2.2552893,-0.8034172,0.017947678,1.6654434,233.46883,0,1
2093,2.2134736,-0.86042404,0.027643433,1.6521126,286.02402,0,1
2094,3.2716815,-0.6527087,0.021932745,1.6692933,111.9789,0,1
2095,2.6926296,-0.9310735,0.024781607,1.6303557,151.82397,0,1
2096,3.206432,-0.7149394,0.017754124,1.6759105,199.33461,0,1
2097,2.4785085,-0.98779106,0.022418512,1.637004,106.71791,0,1
2098,3.4478729,-0.9121952,0.020139176,1.6327192,144.84807,0,1
2099,3.5387697,-1.0878706,0.034055058,1.6637393,94.98163,0,1
